,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1244295.7563345705
Total Return [%],24.429575633457038
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000094
Total Fees Paid,0.0
Max Drawdown [%],12.725487461857101
Max Drawdown Duration,44 days 00:00:00
Total Trades,31376
Total Closed Trades,31116
Total Open Trades,260
Open Trade PnL,-24443.142756492613
Win Rate [%],56.74572567168017
Best Trade [%],68.84477623228705
Worst Trade [%],-28.696919470613523
Avg Winning Trade [%],3.724032893570099
Avg Losing Trade [%],-3.433105450907558
Avg Winning Trade Duration,14 days 17:42:24.282720734
Avg Losing Trade Duration,12 days 13:20:51.128947565
Profit Factor,1.5515133747410057
Expectancy,8.48631689503329
Sharpe Ratio,1.2517818548723165
Calmar Ratio,1.9555199864610666
Omega Ratio,1.2511950638264162
Sortino Ratio,1.610305124484435
