2025-01-02,10.13,code,50.71,11.43
2025-01-03,10.06,600000.SH,,
2025-01-06,10.15,600000.SH,,
2025-01-07,10.27,600000.SH,,
2025-01-08,10.3,600000.SH,,
2025-01-09,10.19,600000.SH,,
2025-01-10,10.13,600000.SH,,
2025-01-13,10.0,600000.SH,,
2025-01-14,10.16,600000.SH,,
2025-01-15,10.21,600000.SH,,
2025-01-16,10.21,600000.SH,,
2025-01-17,10.27,600000.SH,,
2025-01-20,10.37,600000.SH,,
2025-01-21,10.37,600000.SH,,
2025-01-22,10.03,600000.SH,,
2025-01-23,10.31,600000.SH,,
2025-01-24,10.39,600000.SH,,
2025-01-27,10.65,600000.SH,,
2025-02-05,10.41,600000.SH,,
2025-02-06,10.43,600000.SH,,
2025-02-07,10.34,600000.SH,,
2025-02-10,10.27,600000.SH,,
2025-02-11,10.3,600000.SH,,
2025-02-12,10.41,600000.SH,,
2025-02-13,10.31,600000.SH,,
2025-02-14,10.41,600000.SH,,
2025-02-17,10.27,600000.SH,,
2025-02-18,10.5,600000.SH,,
2025-02-19,10.44,600000.SH,,
2025-02-20,10.39,600000.SH,,
2025-02-21,10.29,600000.SH,,
2025-02-24,10.21,600000.SH,,
2025-02-25,10.1,600000.SH,,
2025-02-26,10.18,600000.SH,,
2025-02-27,10.24,600000.SH,,
2025-02-28,10.17,600000.SH,,
2025-03-03,10.15,600000.SH,,
2025-03-04,10.1,600000.SH,,
2025-03-05,10.25,600000.SH,,
2025-03-06,10.13,600000.SH,,
2025-03-07,10.14,600000.SH,,
2025-03-10,10.1,600000.SH,,
2025-03-11,10.12,600000.SH,,
2025-03-12,10.12,600000.SH,,
2025-03-13,10.22,600000.SH,,
2025-03-14,10.42,600000.SH,,
2025-03-17,10.6,600000.SH,,
2025-03-18,10.64,600000.SH,,
2025-03-19,10.65,600000.SH,,
2025-03-20,10.66,600000.SH,,
2025-03-21,10.47,600000.SH,,
2025-03-24,10.61,600000.SH,,
2025-03-25,10.61,600000.SH,,
2025-03-26,10.47,600000.SH,,
2025-03-27,10.55,600000.SH,,
2025-03-28,10.44,600000.SH,,
2025-03-31,10.43,600000.SH,,
2025-04-01,10.35,600000.SH,,
2025-04-02,10.46,600000.SH,,
2025-04-03,10.48,600000.SH,,
2025-04-07,9.65,600000.SH,,
2025-04-08,10.2,600000.SH,,
2025-04-09,10.01,600000.SH,,
2025-04-10,10.0,600000.SH,,
2025-04-11,10.07,600000.SH,,
2025-04-14,10.18,600000.SH,,
2025-04-15,10.47,600000.SH,,
2025-04-16,10.6,600000.SH,,
2025-04-17,10.75,600000.SH,,
2025-04-18,10.81,600000.SH,,
2025-04-21,10.57,600000.SH,,
2025-04-22,10.71,600000.SH,,
2025-04-23,10.67,600000.SH,,
2025-04-24,10.74,600000.SH,,
2025-04-25,10.59,600000.SH,,
2025-04-28,10.74,600000.SH,,
2025-04-29,10.83,600000.SH,,
2025-04-30,10.96,600000.SH,,
2025-05-06,11.17,600000.SH,,
2025-05-07,11.37,600000.SH,,
2025-05-08,11.63,600000.SH,,
2025-05-09,11.8,600000.SH,,
2025-05-12,11.71,600000.SH,,
2025-05-13,12.08,600000.SH,,
2025-05-14,12.15,600000.SH,,
2025-05-15,12.29,600000.SH,,
2025-05-16,12.1,600000.SH,,
2025-05-19,12.0,600000.SH,,
2025-05-20,12.27,600000.SH,,
2025-05-21,12.27,600000.SH,,
2025-05-22,12.43,600000.SH,,
2025-05-23,12.23,600000.SH,,
2025-05-26,12.05,600000.SH,,
2025-05-27,12.19,600000.SH,,
2025-05-28,12.22,600000.SH,,
2025-05-29,12.17,600000.SH,,
2025-05-30,12.33,600000.SH,,
2025-06-03,12.54,600000.SH,,
2025-06-04,12.38,600000.SH,,
2025-06-05,12.32,600000.SH,,
2025-06-06,12.32,600000.SH,,
2025-06-09,12.31,600000.SH,,
2025-06-10,12.36,600000.SH,,
2025-06-11,12.35,600000.SH,,
2025-06-12,12.46,600000.SH,,
2025-06-13,12.34,600000.SH,,
2025-06-16,12.58,600000.SH,,
2025-06-17,12.54,600000.SH,,
2025-06-18,12.78,600000.SH,,
2025-06-19,12.74,600000.SH,,
2025-06-20,13.02,600000.SH,,
2025-06-23,13.31,600000.SH,,
2025-06-24,13.31,600000.SH,,
2025-06-25,13.46,600000.SH,,
2025-06-26,13.62,600000.SH,,
2025-06-27,13.55,600000.SH,,
2025-06-30,13.88,600000.SH,,
2025-07-01,14.18,600000.SH,,
2025-07-02,14.2,600000.SH,,
2025-07-03,14.18,600000.SH,,
2025-07-04,14.58,600000.SH,,
2025-07-07,14.6,600000.SH,,
2025-07-08,14.23,600000.SH,,
2025-07-09,14.17,600000.SH,,
2025-07-10,14.2,600000.SH,,
2025-07-11,13.8,600000.SH,,
2025-07-14,14.11,600000.SH,,
2025-07-15,13.93,600000.SH,,
2025-07-16,13.48,600000.SH,,
2025-07-17,13.44,600000.SH,,
2025-07-18,13.46,600000.SH,,
2025-07-21,13.48,600000.SH,,
2025-07-22,13.23,600000.SH,,
2025-07-23,13.33,600000.SH,,
2025-07-24,13.06,600000.SH,,
2025-07-25,13.07,600000.SH,,
2025-07-28,13.08,600000.SH,,
2025-07-29,12.79,600000.SH,,
2025-07-30,12.88,600000.SH,,
2025-07-31,12.81,600000.SH,,
2025-08-01,12.92,600000.SH,,
2025-08-04,13.13,600000.SH,,
2025-08-05,13.75,600000.SH,,
2025-08-06,13.79,600000.SH,,
2025-08-07,13.93,600000.SH,,
2025-08-08,14.17,600000.SH,,
2025-08-11,13.98,600000.SH,,
2025-08-12,13.89,600000.SH,,
2025-08-13,13.83,600000.SH,,
2025-08-14,13.87,600000.SH,,
2025-08-15,13.59,600000.SH,,
2025-08-18,13.64,600000.SH,,
2025-08-19,13.69,600000.SH,,
2025-08-20,13.72,600000.SH,,
2025-08-21,13.78,600000.SH,,
2025-08-22,13.94,600000.SH,,
2025-08-25,14.03,600000.SH,,
2025-08-26,14.03,600000.SH,,
2025-08-27,13.75,600000.SH,,
2025-08-28,13.86,600000.SH,,
2025-08-29,13.63,600000.SH,,
2025-09-01,13.49,600000.SH,,
2025-09-02,13.73,600000.SH,,
2025-09-03,13.78,600000.SH,,
2025-09-04,13.77,600000.SH,,
2025-09-05,13.69,600000.SH,,
2025-09-08,13.58,600000.SH,,
2025-09-09,14.02,600000.SH,,
2025-09-10,13.97,600000.SH,,
2025-09-11,14.12,600000.SH,,
2025-09-12,13.6,600000.SH,,
2025-09-15,13.43,600000.SH,,
2025-09-16,13.16,600000.SH,,
2025-09-17,12.96,600000.SH,,
2025-09-18,12.75,600000.SH,,
2025-09-19,12.81,600000.SH,,
2025-09-22,12.54,600000.SH,,
2025-09-23,12.45,600000.SH,,
2025-09-24,12.22,600000.SH,,
2025-09-25,12.43,600000.SH,,
2025-09-26,12.25,600000.SH,,
2025-09-29,12.06,600000.SH,,
2025-09-30,11.9,600000.SH,,
