stock_code,title,author,post_time,read_count,comment_count,post_link,page,crawl_time
601669,600979广安爱众：区域能源龙头，业绩稳健，叠加绿色电力、算力基建利好，估值低,0125t3312y1420美,03-15 08:36,361260,351691,"https://guba.eastmoney.com/news,601669,1679343564.html",1,2026-03-15 20:59:57
601669,三建客明天一起涨停！支持的同志把赞点起来！,0125t3312y1420美,03-15 06:43,264118,45630,"https://guba.eastmoney.com/news,601669,1679331521.html",1,2026-03-15 20:59:57
601669,3.16周一财经热点信息汇总！1.海洋经济2.核电核能3.化肥涨价链4.煤炭棕榈,0125t3312y1420美,03-15 08:20,332295,264118,"https://guba.eastmoney.com/news,601669,1679344616.html",1,2026-03-15 20:59:57
601669,成交额太大，一日游,36227G706D14432,03-15 05:38,332295,264118,"https://guba.eastmoney.com/news,601669,1679344177.html",1,2026-03-15 20:59:57
601669,上周五，开板后，最后一笔，挂卖单是五亿元筹码，被主力几口吃了。主力商家“进货”，,36227G706D14432,03-15 05:38,071646,45630,"https://guba.eastmoney.com/news,601669,1679340585.html",1,2026-03-15 20:59:57
601669,根据网络信息显示，截至3月15日，中国电建针对3月16日的隔夜挂单量较大。有消息,36227G706D14432,03-15 08:31,264118,071646,"https://guba.eastmoney.com/news,601669,1679344515.html",1,2026-03-15 20:59:57
601669,明天，又是跌停了，和汉缆一样，今天涨停，这么大的盘子，明天，不用看了，,,03-14 05:33,33710,0017104,"https://guba.eastmoney.com/news,601669,1679341932.html",1,2026-03-15 20:59:57
601669,电建涨停后为什么没有出龙虎榜？,,03-15 08:30,071646,33710,"https://guba.eastmoney.com/news,601669,1679324557.html",1,2026-03-15 20:59:57
601669,热榜排第1：过海油轮用人民币结算,,03-15 08:30,071646,01721,"https://guba.eastmoney.com/news,601669,1679339414.html",1,2026-03-15 20:59:57
601669,能建新高了，电建走势也不错，主升浪形成中。,诚实的墩儿4995电力设备龙头太阳和大地,03-15 09:41,551394,498711,"https://guba.eastmoney.com/news,601669,1675256074.html",2,2026-03-15 20:59:59
