,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,880287.0033095349
Total Return [%],-11.971299669046518
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000098
Total Fees Paid,0.0
Max Drawdown [%],23.69930568203636
Max Drawdown Duration,327 days 00:00:00
Total Trades,45474
Total Closed Trades,45214
Total Open Trades,260
Open Trade PnL,2151.775599840924
Win Rate [%],65.03074269031715
Best Trade [%],163.20541760722355
Worst Trade [%],-32.29785614247059
Avg Winning Trade [%],6.951379803851275
Avg Losing Trade [%],-3.788602288876644
Avg Winning Trade Duration,5 days 22:31:21.359044995
Avg Losing Trade Duration,5 days 15:44:38.753758556
Profit Factor,0.8938727602145
Expectancy,-2.987746873507792
Sharpe Ratio,-0.42683785605340735
Calmar Ratio,-0.513040038255774
Omega Ratio,0.9366537806927168
Sortino Ratio,-0.5332150834565915
