level_idx,level_px,qty,avg_cost,unrealized_pnl
-59,1.017000,100,1.017000,0.000000
-58,1.018000,100,1.018000,0.000000
-57,1.019000,100,1.019000,0.000000
-56,1.020000,100,1.020000,0.000000
-55,1.021000,100,1.021000,0.000000
-54,1.022000,100,1.022000,0.000000
-53,1.023000,100,1.023000,0.000000
-52,1.024000,100,1.024000,0.000000
-47,1.029000,100,1.029000,0.000000
-46,1.030000,100,1.030000,0.000000
-45,1.031000,100,1.031000,0.000000
-44,1.032000,100,1.032000,0.000000
-43,1.033000,100,1.033000,0.000000
-42,1.034000,100,1.034000,0.000000
-41,1.035000,100,1.035000,0.000000
-40,1.036000,100,1.036000,0.000000
-39,1.037000,100,1.037000,0.000000
-38,1.038000,100,1.038000,0.000000
-37,1.039000,100,1.039000,0.000000
-36,1.040000,100,1.040000,0.000000
-35,1.041000,200,1.041000,0.000000
-34,1.042000,100,1.042000,0.000000
-33,1.043000,100,1.043000,0.000000
-32,1.044000,100,1.044000,0.000000
-31,1.045000,100,1.045000,0.000000
-29,1.047000,100,1.047000,0.000000
-28,1.048000,200,1.048000,0.000000
-26,1.050000,100,1.050000,0.000000
-24,1.052000,200,1.052000,0.000000
-23,1.053000,100,1.053000,0.000000
-22,1.054000,100,1.054000,0.000000
-21,1.055000,100,1.055000,0.000000
-20,1.056000,100,1.056000,0.000000
-18,1.058000,100,1.058000,0.000000
-17,1.059000,100,1.059000,0.000000
-15,1.061000,100,1.061000,0.000000
-14,1.062000,100,1.062000,0.000000
-13,1.063000,100,1.063000,0.000000
