,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,821186.4417602909
Total Return [%],-17.881355823970907
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000166
Total Fees Paid,0.0
Max Drawdown [%],26.15553108975222
Max Drawdown Duration,327 days 00:00:00
Total Trades,38226
Total Closed Trades,37966
Total Open Trades,260
Open Trade PnL,-8134.945844323755
Win Rate [%],54.685771479745036
Best Trade [%],186.43432692697516
Worst Trade [%],-38.222822543526476
Avg Winning Trade [%],14.414473760447871
Avg Losing Trade [%],-8.58787337013576
Avg Winning Trade Duration,33 days 11:05:41.585589057
Avg Losing Trade Duration,26 days 00:30:00.943231441
Profit Factor,0.7300533861921445
Expectancy,-4.523684281091938
Sharpe Ratio,-0.5045705837816309
Calmar Ratio,-0.6939752839370616
Omega Ratio,0.9273464241353401
Sortino Ratio,-0.6405527863169045
