level_idx,level_px,qty,avg_cost,unrealized_pnl
-30,1.815000,0,0.000000,0.000000
-29,1.816000,0,0.000000,0.000000
-28,1.817000,0,0.000000,0.000000
-27,1.818000,0,0.000000,0.000000
-26,1.819000,0,0.000000,0.000000
-25,1.820000,0,0.000000,0.000000
-24,1.821000,0,0.000000,0.000000
-23,1.822000,0,0.000000,0.000000
-22,1.823000,0,0.000000,0.000000
-21,1.824000,0,0.000000,0.000000
-20,1.825000,0,0.000000,0.000000
-19,1.826000,0,0.000000,0.000000
-18,1.827000,0,0.000000,0.000000
-17,1.828000,0,0.000000,0.000000
-16,1.829000,0,0.000000,0.000000
-15,1.830000,0,0.000000,0.000000
-14,1.831000,0,0.000000,0.000000
-13,1.832000,0,0.000000,0.000000
-12,1.833000,0,0.000000,0.000000
-11,1.834000,0,0.000000,0.000000
-10,1.835000,0,0.000000,0.000000
-9,1.836000,0,0.000000,0.000000
-8,1.837000,0,0.000000,0.000000
-7,1.838000,0,0.000000,0.000000
-6,1.839000,100,1.839000,0.000000
-5,1.840000,0,0.000000,0.000000
