,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,935548.8739821777
Total Return [%],-6.4451126017822284
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000297
Total Fees Paid,0.0
Max Drawdown [%],23.13634282131408
Max Drawdown Duration,329 days 00:00:00
Total Trades,46763
Total Closed Trades,46503
Total Open Trades,260
Open Trade PnL,4327.949211589373
Win Rate [%],64.83667720362128
Best Trade [%],163.20541760722347
Worst Trade [%],-32.5218969803705
Avg Winning Trade [%],6.909817046067107
Avg Losing Trade [%],-3.604047809744853
Avg Winning Trade Duration,5 days 02:26:02.933236045
Avg Losing Trade Duration,4 days 22:49:08.978834014
Profit Factor,0.9454591057209906
Expectancy,-1.8046116089342696
Sharpe Ratio,-0.15988168822152368
Calmar Ratio,-0.28307084216627737
Omega Ratio,0.9762516230547249
Sortino Ratio,-0.2023839878254735
