instrument,name,last_price,total_cap_yi,float_cap_yi
SH603028,赛福天,9.63,27.641952,27.367497
SH600222,太龙药业,7.44,42.69713946,42.69713946
SZ000720,新能泰山,5.69,71.49664639,71.49664639
SH600984,建设机械,4.71,59.20676887,59.20676887
SH600480,凌云股份,11.61,141.90059313,140.81713458
SH605169,洪通燃气,13.04,36.887552,36.887552
SH600748,上实发展,5.48,101.08204648,101.08204648
SZ002798,帝欧水华,8.44,46.85216775,40.88040043
SH603878,武进不锈,8.55,47.97731037,47.97731037
SH603278,大业股份,14.91,50.95632535,50.95632535
SZ000782,恒申新材,8.23,56.50565819,43.46589097
SH600992,贵绳股份,12.51,30.660759,30.660759
SH600589,大位科技,12.51,185.73220324,184.95658324
SZ002474,榕基软件,8.34,51.89148,44.10460189
SH600683,京投发展,17.23,127.63597996,127.63597996
SZ002624,完美世界,17.55,340.4644549,320.7671487
SZ000678,襄阳轴承,13.49,62.00163142,62.00163142
SH603012,创力集团,9.55,61.74075,61.74075
SH603937,丽岛新材,18.88,39.43853055,39.43853055
SZ002965,祥鑫科技,34.93,92.6973594,66.5122075
SH600130,波导股份,6.15,46.125,46.125
SZ002629,仁智股份,6.92,29.4859816,25.06797611
SH603400,华之杰,83.0,83.0,16.6
SH600783,鲁信创投,24.84,184.89884863,184.89884863
SH600855,航天长峰,20.55,96.2855306,96.0999641
SZ002865,钧达股份,96.53,300.46512,215.77192398
SH603373,安邦护卫,43.95,47.25806464,19.96653247
SZ002866,传艺科技,29.34,84.94582991,53.16774926
SZ000710,贝瑞基因,10.99,38.852009,36.21533854
SH600343,航天动力,38.48,245.58180271,245.58180271
SH603667,五洲新春,78.17,299.50985743,286.26070531
SZ000547,航天发展,27.59,441.01739542,438.43850101
SH605566,福莱蒽特,34.73,46.308982,46.308982
SZ002930,宏川智慧,16.04,73.38139664,69.50762292
SZ002491,通鼎互联,20.66,254.1168637,243.05846875
SZ002929,润建股份,78.23,222.23819661,165.79874302
SZ002009,天奇股份,26.96,108.44207261,95.4512246
SZ002979,雷赛智能,49.51,156.01741512,109.392244
SZ002580,圣阳股份,32.9,149.3228987,148.8194652
SH603311,金海高科,23.1,54.48918252,54.48918252
SZ002132,恒星科技,5.72,80.16835673,80.03346271
SZ002902,铭普光磁,36.18,85.02627863,64.26727424
SH603636,南威软件,11.11,64.47805411,64.47805411
SZ002536,飞龙股份,43.34,249.11220386,235.94342591
SH605289,罗曼股份,166.1,181.0614575,179.9485875
SH605189,富春染织,18.15,35.22510001,35.22510001
SZ002222,福晶科技,108.24,508.9986,506.72741523
SH603459,红板科技,81.05,610.91728307,64.07153091
SZ002281,光迅科技,180.72,1457.82441901,1408.71018076
SH603045,福达合金,62.14,84.16561932,84.16561932
SZ002317,众生药业,22.54,191.57432952,171.66856331
SZ001267,汇绿生态,62.38,489.78572614,378.42284793
SH600234,科新发展,28.61,75.10725038,75.10725038
SZ003036,泰坦股份,41.91,90.64463949,90.64231348
SZ002655,共达电声,39.39,143.3035773,143.01953601
SH600936,北投科技,5.17,86.39205656,86.39205656
SH600536,中国软件,43.45,405.73027075,366.56848638
SH603618,杭电股份,37.62,260.09550674,260.09550674
SH605055,迎丰股份,13.64,60.016,60.016
SH600391,航发科技,42.57,140.53607153,140.53607153
SZ002256,兆新股份,5.28,105.28028428,103.88746257
SZ000659,珠海中富,4.4,56.57091088,56.57091088
SH600498,烽火通信,57.0,774.15546474,724.82422992
SZ002091,江苏国泰,9.79,159.35335724,156.46287599
SZ001333,光华股份,25.77,32.9856,11.3388
SH603738,泰晶科技,47.01,181.40570999,181.40570999
SZ002997,瑞鹄模具,33.7,70.54128653,70.54128653
SH600078,澄星股份,14.75,99.829897,97.729497
