,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,905674.3430165759
Total Return [%],-9.43256569834241
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000267
Total Fees Paid,0.0
Max Drawdown [%],29.362751478896183
Max Drawdown Duration,329 days 00:00:00
Total Trades,42696
Total Closed Trades,42436
Total Open Trades,260
Open Trade PnL,2606.0980207309435
Win Rate [%],62.05344518804788
Best Trade [%],181.4502431964928
Worst Trade [%],-37.98624563160111
Avg Winning Trade [%],12.916257547386712
Avg Losing Trade [%],-6.162614303041165
Avg Winning Trade Duration,13 days 20:08:41.140773934
Avg Losing Trade Duration,11 days 02:37:53.518576334
Profit Factor,0.9083219377885035
Expectancy,-2.421092722276864
Sharpe Ratio,-0.18794974724028568
Calmar Ratio,-0.3263457237744022
Omega Ratio,0.9734140523865136
Sortino Ratio,-0.24117393776764834
