,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,895835.5303303406
Total Return [%],-10.416446966965944
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.000000000003
Total Fees Paid,0.0
Max Drawdown [%],24.52172003745606
Max Drawdown Duration,352 days 00:00:00
Total Trades,48978
Total Closed Trades,48718
Total Open Trades,260
Open Trade PnL,7858.854413216219
Win Rate [%],67.46787634960384
Best Trade [%],287.53801946671484
Worst Trade [%],-29.571116584028356
Avg Winning Trade [%],8.889454274545532
Avg Losing Trade [%],-3.7301081685790916
Avg Winning Trade Duration,5 days 03:48:38.750190148
Avg Losing Trade Duration,4 days 09:49:20.490045941
Profit Factor,0.9212532286208158
Expectancy,-2.6292118892672534
Sharpe Ratio,-0.2913244191298433
Calmar Ratio,-0.43149450052756316
Omega Ratio,0.9587282061055586
Sortino Ratio,-0.3694276092866588
