date,ts_code,weight
2025-01-21,000001.SZ,0.0
2025-01-21,000002.SZ,0.0
2025-01-21,000006.SZ,0.0
2025-01-21,000007.SZ,0.0
2025-01-21,000008.SZ,0.0
2025-01-21,000009.SZ,0.0
2025-01-21,000011.SZ,0.0
2025-01-21,000012.SZ,0.0
2025-01-27,000001.SZ,0.125
2025-01-27,000002.SZ,0.125
2025-01-27,000006.SZ,0.125
2025-01-27,000007.SZ,0.125
2025-01-27,000008.SZ,0.125
2025-01-27,000009.SZ,0.125
2025-01-27,000011.SZ,0.125
2025-01-27,000012.SZ,0.125
2025-02-05,000001.SZ,0.125
2025-02-05,000002.SZ,0.125
2025-02-05,000006.SZ,0.125
2025-02-05,000007.SZ,0.125
2025-02-05,000008.SZ,0.125
2025-02-05,000009.SZ,0.125
2025-02-05,000011.SZ,0.125
2025-02-05,000012.SZ,0.125
2025-02-10,000001.SZ,0.125
2025-02-10,000002.SZ,0.125
2025-02-10,000006.SZ,0.125
2025-02-10,000007.SZ,0.125
2025-02-10,000008.SZ,0.125
2025-02-10,000009.SZ,0.125
2025-02-10,000011.SZ,0.125
2025-02-10,000012.SZ,0.125
2025-02-17,000001.SZ,0.125
2025-02-17,000002.SZ,0.125
2025-02-17,000006.SZ,0.125
2025-02-17,000007.SZ,0.125
2025-02-17,000008.SZ,0.125
2025-02-17,000009.SZ,0.125
2025-02-17,000011.SZ,0.125
2025-02-17,000012.SZ,0.125
2025-02-24,000001.SZ,0.125
2025-02-24,000002.SZ,0.125
2025-02-24,000006.SZ,0.125
2025-02-24,000007.SZ,0.125
2025-02-24,000008.SZ,0.125
2025-02-24,000009.SZ,0.125
2025-02-24,000011.SZ,0.125
2025-02-24,000012.SZ,0.125
2025-03-03,000001.SZ,0.125
2025-03-03,000002.SZ,0.125
2025-03-03,000006.SZ,0.125
2025-03-03,000007.SZ,0.125
2025-03-03,000008.SZ,0.125
2025-03-03,000009.SZ,0.125
2025-03-03,000011.SZ,0.125
2025-03-03,000012.SZ,0.125
2025-03-10,000001.SZ,0.125
2025-03-10,000002.SZ,0.125
2025-03-10,000006.SZ,0.125
2025-03-10,000007.SZ,0.125
2025-03-10,000008.SZ,0.125
2025-03-10,000009.SZ,0.125
2025-03-10,000011.SZ,0.125
2025-03-10,000012.SZ,0.125
2025-03-17,000001.SZ,0.125
2025-03-17,000002.SZ,0.125
2025-03-17,000006.SZ,0.125
2025-03-17,000007.SZ,0.125
2025-03-17,000008.SZ,0.125
2025-03-17,000009.SZ,0.125
2025-03-17,000011.SZ,0.125
2025-03-17,000012.SZ,0.125
2025-03-24,000001.SZ,0.125
2025-03-24,000002.SZ,0.125
