code,vol,name,decimal_point,pre_close,unknown1,market_name,market,ts_code
000001,100,平安银行,2,10.699999809265137,"[3735.4130859375, 12647, 9576]",SZ,MARKET.SZ,000001.SZ
000002,100,万 科Ａ,2,3.4700000286102295,"[5208.85595703125, 12656, 9587]",SZ,MARKET.SZ,000002.SZ
000004,100,*ST国华,2,2.759999990463257,"[45.5533332824707, 12656, 9614]",SZ,MARKET.SZ,000004.SZ
000006,100,深振业Ａ,2,10.460000038146973,"[2354.576171875, 12656, 9589]",SZ,MARKET.SZ,000006.SZ
000007,100,全新好,2,11.619999885559082,"[521.507080078125, 12654, 9090]",SZ,MARKET.SZ,000007.SZ
000008,100,神州高铁,2,2.609999895095825,"[1808.8997802734375, 12673, 9604]",SZ,MARKET.SZ,000008.SZ
000009,100,中国宝安,2,7.75,"[968.0623779296875, 12701, 9372]",SZ,MARKET.SZ,000009.SZ
000010,100,*ST美丽,2,2.3499999046325684,"[1639.7291259765625, 12654, 9615]",SZ,MARKET.SZ,000010.SZ
000011,100,深物业A,2,7.460000038146973,"[207.65647888183594, 12654, 9091]",SZ,MARKET.SZ,000011.SZ
000012,100,南 玻Ａ,2,4.0,"[1138.09033203125, 12695, 9569]",SZ,MARKET.SZ,000012.SZ
