交易日,类型,板块,资金方向,交易状态,成交净买额,资金净流入,当日资金余额,上涨数,持平数,下跌数,相关指数,指数涨跌幅
2025-10-29,沪港通,沪股通,北向,4,0.0,0.0,0.0,846,40,510,上证指数,0.7
2025-10-29,深港通,深股通,北向,4,0.0,0.0,0.0,886,58,586,深证成指,1.95
