,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1164469.6874579124
Total Return [%],16.446968745791246
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000178
Total Fees Paid,0.0
Max Drawdown [%],13.309104916853979
Max Drawdown Duration,58 days 00:00:00
Total Trades,42430
Total Closed Trades,42170
Total Open Trades,260
Open Trade PnL,-21760.91522428158
Win Rate [%],57.53379179511501
Best Trade [%],66.1194890935602
Worst Trade [%],-22.97182686828999
Avg Winning Trade [%],3.7780779129102546
Avg Losing Trade [%],-3.2296429281957915
Avg Winning Trade Duration,4 days 04:36:59.767537713
Avg Losing Trade Duration,6 days 01:26:08.645650574
Profit Factor,1.1718484862363894
Expectancy,4.068580603864035
Sharpe Ratio,0.7899631191186572
Calmar Ratio,1.2580623719166075
Omega Ratio,1.128850310456477
Sortino Ratio,1.0288797649471662
