factor,IC均值,ICIR,RankIC均值,RankICIR,RR均值,RR胜率,单调性指标,G1平均收益,G5平均收益
momentum_20,-0.05990754508000689,-2.865857240023019,-0.08007634022984268,-3.908026985917704,-0.01707269572673892,0.352112676056338,0.75,-0.0011933338763637693,0.004762440700529694
risk_adjusted_momentum_20,-0.03726274738870278,-2.1523826276020817,-0.05906970829936784,-3.1795941833215693,-0.015358005015943378,0.4084507042253521,0.5,-0.0002830610076703892,0.0039097362050145214
alpha158.amount_mean_10_ratio,-0.040315988220749076,-2.276455483980551,-0.08577538024405387,-3.9753240320285332,-0.010127000560573137,0.410958904109589,0.75,0.0009197084831671072,0.006475989417098377
alpha158.amount_mean_20_ratio,-0.02960834903965207,-1.7172154134417885,-0.07484885397302433,-3.4407708607608,-0.007773178642157893,0.4084507042253521,1.0,0.0006291199169130668,0.005061470637381681
alpha158.amount_mean_5_ratio,-0.04882980482230215,-2.6303119007950166,-0.09672436810266487,-4.531239680398625,-0.018473982870394,0.32432432432432434,1.0,-0.000798407462933838,0.006174929843178844
alpha158.amplitude_10,-0.049460287835649465,-2.280952531508961,-0.09201506876651845,-3.332775214981127,-0.015808235641094636,0.3150684931506849,0.5,-0.0007812634945886114,0.0038830081379248806
alpha158.amplitude_20,-0.03967135105100219,-1.7906884495917728,-0.08891134608483107,-3.0776211886262477,-0.01085668569143369,0.36619718309859156,0.5,-0.0016308804616283429,0.003135796079656692
alpha158.amplitude_30,-0.03456624681348304,-1.5267314154414022,-0.08382818474895659,-2.7749547187924923,-0.008409567220924391,0.36231884057971014,0.5,-0.0015934809796896697,0.002826659837354468
alpha158.amplitude_5,-0.05492551886762686,-2.5958258928632976,-0.09651170637255767,-3.624092125343907,-0.01709197345434677,0.3108108108108108,0.5,-0.0017265998894208288,0.0034824914990195625
alpha158.amplitude_60,-0.01452776319536341,-0.6929598937039004,-0.06083661828213158,-2.1243041916582395,-0.009094404868378574,0.36507936507936506,0.5,0.0024516651999668126,0.003724893233889243
alpha158.downside_std_20,,,,,,,,,
alpha158.downside_std_60,,,,,,,,,
alpha158.gap_ratio,0.06605719246561281,4.983826757937039,0.03524396662658645,2.4936612413440176,0.028428678813451652,0.7466666666666667,0.75,0.00555305372981634,-0.0003457122113833542
alpha158.intraday_range_ratio,-0.051339548705894945,-2.774056056966592,-0.08117730583872822,-3.527636068651303,-0.024542270129184002,0.27631578947368424,0.5,0.0005537656162542951,0.004830614444837346
alpha158.intraday_return,-0.004814218478552995,-0.28553548204974005,-0.01835694666984014,-0.8895098158990808,0.007901700664900627,0.618421052631579,0.5,0.0024076155499851786,0.003521942760793486
alpha158.kbar_body_ratio,-0.02342439647467884,-1.5116540126982645,-0.04593283298156722,-2.7158209752328912,-0.006266815597476768,0.40789473684210525,0.75,0.0021261220572492763,0.004974337036209946
alpha158.kbar_close_open_range_position,0.0020887297862202873,0.13339594367311872,-0.002831583819971317,-0.1419772912575387,0.0049157322353363744,0.5526315789473685,0.5,0.0041881133263710095,0.0035430253318276114
alpha158.kbar_high_low_ratio,-0.05190311756305727,-2.7949688938145987,-0.08145664130721532,-3.538746243277156,-0.022393963607859304,0.3026315789473684,0.5,0.0006004591643935328,0.004909726846320976
alpha158.kbar_lower_shadow_ratio,-0.04814537518145428,-3.4482594144023557,-0.056702970371879685,-3.391833038496194,-0.015474029925144473,0.34210526315789475,0.75,0.0011072224498355093,0.005630317578091007
alpha158.kbar_open_close_ratio,-0.004814218478552995,-0.28553548204974005,-0.01835694666984014,-0.8895098158990808,0.007901700664900627,0.618421052631579,0.5,0.0024076155499851786,0.003521942760793486
alpha158.kbar_upper_shadow_ratio,-0.03844141538438612,-3.200609729456241,-0.037398533076135894,-2.9696614896177813,-0.013029232696239184,0.35526315789473684,0.5,0.0021597992102767275,0.005449287238370103
alpha158.ma_10_ratio,-0.02798479533809317,-1.405744044464978,-0.04795295326807653,-2.300907611196211,-0.001835708748445876,0.5205479452054794,0.5,0.0007965449239789655,0.004144474515250213
alpha158.ma_120_ratio,-0.051312321536373086,-2.7889665627200597,-0.09100975440790171,-5.767455516765599,-0.015106147954492674,0.32653061224489793,0.5,0.0008516261189494593,0.005280187787720215
alpha158.ma_20_ratio,-0.048560016689855115,-2.3513478912328645,-0.06631882033571282,-3.2413467135809246,-0.011808452237374697,0.43661971830985913,0.5,-0.0008550394208611933,0.0038846914770153
alpha158.ma_240_ratio,-0.04042316222619147,-1.92681464432686,-0.0640893788339247,-3.0911361898974596,-0.01461726583919949,0.34782608695652173,0.5,-0.0013337008500794798,0.0018444460148951255
alpha158.ma_30_ratio,-0.059170663932824476,-2.7020434009413226,-0.08345153908019082,-3.9563786523872775,-0.013795611794152588,0.4492753623188406,0.75,-0.00207856506039963,0.004296132990646875
alpha158.ma_5_ratio,-0.0033439853339602733,-0.17098406877895825,-0.029479574530515154,-1.378649539645155,0.009115414601052134,0.581081081081081,0.5,0.0007864261670948997,0.0023925629032015435
alpha158.ma_60_ratio,-0.05568514629735858,-2.604541290958686,-0.09192658470027566,-4.762218065068002,-0.016469121859357963,0.3968253968253968,0.5,0.000979035453689187,0.006365418051239182
alpha158.price_range_position_10,-0.006547125421592253,-0.44591489559064496,-0.015795009981452574,-0.9009092530461916,0.008961384279761281,0.6438356164383562,0.5,0.003450258008246173,0.004062843424522107
alpha158.price_range_position_120,-0.010192341887429469,-0.8306659851671717,-0.054163165009695,-3.9491865120410345,0.003754423173626842,0.5918367346938775,0.5,0.003459145804266834,0.00470608585560316
alpha158.price_range_position_20,-0.013154617643738153,-0.9244847561204986,-0.028777768705295803,-1.7307247452047834,0.004004748402898096,0.6056338028169014,0.5,0.0017801229626023473,0.0031286516168670744
alpha158.price_range_position_30,-0.021316297599207817,-1.385861565163811,-0.04334489504195832,-2.5676768876557197,0.0023339415675817992,0.5797101449275363,0.75,0.0010518759267965077,0.003830800917540897
alpha158.price_range_position_5,-0.0008270123796775005,-0.05226714772692632,-0.0049582509051508536,-0.26507851853142217,0.010485309265864821,0.581081081081081,0.5,0.002965485756064742,0.0026731511683498296
alpha158.price_range_position_60,-0.014898801211582317,-0.9529156978105925,-0.05222515454279764,-2.9756805971136884,0.0021745052430996855,0.5396825396825397,0.75,0.003855320930011352,0.005509402276027424
alpha158.price_volume_corr_10,-0.03367300177769988,-3.646250047219475,-0.07628935054640879,-5.994026897471463,-0.010227217638246166,0.3972602739726027,0.75,0.000517720257958005,0.006549055196315585
alpha158.price_volume_corr_20,-0.033062430674697676,-3.16806354421986,-0.07269634997247065,-5.301488309820987,-0.00910701880087684,0.4084507042253521,0.75,-7.768835804340718e-05,0.005345275378132133
alpha158.price_volume_corr_30,-0.025844684263622467,-2.2141017726834424,-0.062145807196463336,-3.9048610965872093,-0.012073764648370003,0.391304347826087,0.75,-0.0003980591714591196,0.004177183236768588
alpha158.price_volume_corr_5,-0.02794126876972777,-3.3663387971416796,-0.0601740779574919,-5.385731405603349,-0.006611021640777172,0.3918918918918919,1.0,0.001104623092869074,0.00546963496924405
