factor,is_factor_higher_better,推断方向,IC均值通过,ICIR通过,RankIC均值通过,RankICIR通过,RR均值通过,RR胜率通过,单调性通过,初筛是否通过,备注
alpha158.std_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.std_240,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.std_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.std_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.std_60,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.turnover_amount_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.volume_ma_10_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_ma_20_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_ma_30_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_ma_5_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_position_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_position_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_position_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_position_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.volume_std_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.volume_std_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.volume_std_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.volume_std_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha001,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha002,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha003,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha004,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha005,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha101.alpha006,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha007,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha008,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha009,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha010,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha011,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha012,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha013,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha014,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha015,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha016,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha017,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha018,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha019,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha020,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha021,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha022,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha023,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha024,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha025,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha026,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha027,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha028,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha101.alpha029,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha030,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha031,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha032,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha033,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha034,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha035,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha036,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha101.alpha037,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha038,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha039,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha101.alpha040,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha041,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha042,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha043,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha044,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha045,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha046,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha047,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha048,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha049,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha050,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha051,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha052,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha101.alpha053,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha054,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha055,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha101.alpha056,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha057,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha058,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha059,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha060,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha061,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha062,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha063,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha064,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha065,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha066,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha067,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha068,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha069,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha070,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha071,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha072,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha101.alpha073,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha074,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha075,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha076,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha077,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha101.alpha078,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha101.alpha079,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha080,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha081,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha082,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha083,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha084,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha085,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha086,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha087,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha101.alpha088,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha089,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha101.alpha090,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha101.alpha091,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha101.alpha092,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
