factor,is_factor_higher_better,推断方向,IC均值通过,ICIR通过,RankIC均值通过,RankICIR通过,RR均值通过,RR胜率通过,单调性通过,初筛是否通过,备注
alpha191.alpha107,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha108,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha109,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha110,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha111,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha112,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha113,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha114,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha115,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha116,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha117,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha118,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha119,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha120,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha121,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha122,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha123,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha124,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha125,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha126,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha127,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,False,False,
alpha191.alpha128,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha129,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha130,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha131,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha132,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha133,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha134,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha135,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha136,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha137,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha138,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha139,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha140,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha141,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha142,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha144,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha191.alpha145,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha146,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha147,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha148,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,False,True,False,
alpha191.alpha149,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha150,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha151,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha152,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha153,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha154,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha155,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha156,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha157,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha158,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha159,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha160,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha161,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha162,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha163,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha164,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha165,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha166,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha167,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha168,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha169,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha170,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha171,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha172,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha173,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha191.alpha174,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha175,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha176,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha177,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha178,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha179,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha180,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha181,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha182,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha183,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha184,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha185,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha191.alpha186,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha187,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha188,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha189,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha191.alpha190,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,True,True,
alpha191.alpha191,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
