factor,label,IC均值,ICIR,RankIC均值,RankICIR,RR均值,RR胜率,方向,选股数,周期天数,组合收益[%],基准收益[%],超额收益[%]
alpha158.roc_rank_60,Alpha158 60日收益时序排名,-0.02062696573222532,-1.3480212451981055,-0.0431293585350802,-2.2713612653481756,0.006819952579380442,0.576271186440678,True,26,5,37.740018243997966,52.06884984566336,-14.328831601665392
alpha101.alpha003,Alpha101 #003,0.031311848147160086,4.412996707058061,0.05322595275249076,5.737872700776768,0.007643029394915534,0.6376811594202898,True,26,5,78.52535330770881,52.06884984566336,26.456503462045454
alpha101.alpha006,Alpha101 #006,0.03012258507436043,3.191018120149209,0.0512403272690913,4.100900723146738,0.009647172129962522,0.6231884057971014,True,26,5,61.234293382473005,52.06884984566336,9.165443536809647
alpha101.alpha041,Alpha101 #041,0.06471408533288518,5.218198300065276,0.054359989863555454,3.067424873537267,0.031106199945771202,0.8309859154929577,True,26,5,180.99944537824712,52.06884984566336,128.93059553258377
alpha101.alpha044,Alpha101 #044,0.029367608366380697,4.3170053253306735,0.06588021022655326,7.306576970458328,0.006588817775506027,0.6714285714285714,True,26,5,61.69750342019753,52.06884984566336,9.62865357453417
alpha101.alpha054,Alpha101 #054,0.04669885206402608,3.947367892834605,0.08129923971166111,4.891231952898944,0.011459190501280503,0.7611940298507462,True,26,5,18.40568236732759,52.06884984566336,-33.663167478335765
alpha101.alpha063,Alpha101 #063,0.05216177632401725,4.660423446696615,0.06313039383092196,4.197290645424604,0.017769544595081458,0.7205882352941176,True,26,5,77.34236154148257,52.06884984566336,25.273511695819217
alpha101.alpha068,Alpha101 #068,0.05364053345757518,4.336852599513396,0.06415539045859152,3.9998212217976636,0.01984755386821158,0.803030303030303,True,26,5,77.53475579991868,52.06884984566336,25.465905954255327
alpha191.alpha083,国君朝阳191 #083,0.026133754773504707,3.577313154319305,0.06901016733793536,7.974918938032408,0.005534690581032943,0.5142857142857142,True,26,5,11.355333558804933,52.06884984566336,-40.71351628685842
alpha191.alpha090,国君朝阳191 #090,0.022539479058221585,3.5651856892869835,0.05730144667669409,7.234900351488544,0.005141350585187263,0.6142857142857143,True,26,5,62.555112222901,52.06884984566336,10.486262377237644
alpha191.alpha101,国君朝阳191 #101,0.013461413892073332,2.627820856379898,0.03410044635878239,5.718163024720742,0.0038907998678757824,0.5915492957746479,True,26,5,44.92959034708176,52.06884984566336,-7.139259498581595
alpha191.alpha113,国君朝阳191 #113,0.05327289963578678,5.9001938253681026,0.066428884661842,5.232834357928372,0.014252098881644958,0.7142857142857143,True,26,5,17.540687212778565,52.06884984566336,-34.52816263288479
alpha191.alpha182,国君朝阳191 #182,0.02950216254353946,2.729784297009761,0.039926295666863544,2.7396674838618167,0.005546057977499588,0.5970149253731343,True,26,5,27.7568834275817,52.06884984566336,-24.31196641808166
alpha191.alpha190,国君朝阳191 #190,0.018703999735600663,1.9856658288786746,0.04226093718555494,3.85443512344476,0.005905204123291367,0.6031746031746031,True,26,5,26.162439022282747,52.06884984566336,-25.90641082338061
