,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1087312.1463985369
Total Return [%],8.731214639853686
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000304
Total Fees Paid,0.0
Max Drawdown [%],18.628878797229177
Max Drawdown Duration,96 days 00:00:00
Total Trades,43313
Total Closed Trades,43053
Total Open Trades,260
Open Trade PnL,-20637.777632952766
Win Rate [%],58.293266439040245
Best Trade [%],61.24567474048443
Worst Trade [%],-31.467030499264048
Avg Winning Trade [%],4.228365892770713
Avg Losing Trade [%],-3.5037544610794376
Avg Winning Trade Duration,4 days 05:57:13.892497111
Avg Losing Trade Duration,5 days 12:19:34.696138843
Profit Factor,1.0888976703212716
Expectancy,2.0816406447555593
Sharpe Ratio,0.4632581482949426
Calmar Ratio,0.4768638849182522
Omega Ratio,1.0737372631863529
Sortino Ratio,0.6008710863453052
