,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,997552.5422716732
Total Return [%],-0.24474577283268104
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000055
Total Fees Paid,0.0
Max Drawdown [%],13.42577927974053
Max Drawdown Duration,58 days 00:00:00
Total Trades,15347
Total Closed Trades,15087
Total Open Trades,260
Open Trade PnL,-19672.357449775922
Win Rate [%],50.85172665208457
Best Trade [%],59.49779539197655
Worst Trade [%],-30.10578245890495
Avg Winning Trade [%],3.642991435128691
Avg Losing Trade [%],-4.2174140871157615
Avg Winning Trade Duration,4 days 12:01:07.570385818
Avg Losing Trade Duration,8 days 08:29:21.983921515
Profit Factor,1.049917029263667
Expectancy,0.9048501813431145
Sharpe Ratio,0.055167104466933604
Calmar Ratio,-0.01853383203220013
Omega Ratio,1.0137168498022706
Sortino Ratio,0.07467298230440328
