code,name,总分,预测全年净利,预测全年扣非,预测年末净资产,总市值,审计意见,备注
600753.SH,*ST海钦,5,79712698.08460507,81620764.1779384,101950088.43460506,1789486749.75,,
301288.SZ,*ST清研,5,17624552.881676607,10393685.97500994,812301989.8516766,1791885900.0,,
002592.SZ,ST八菱,5,71056162.06577499,54686253.21244166,1052546344.0157751,2320482175.83,,
600130.SH,*ST波导,5,28774466.630223934,869778.1235572696,988751687.840224,2970000000.0,,
002058.SZ,*ST威尔,5,769861473.2406933,525919683.02735996,809872882.9506934,3540304833.7599998,,
600636.SH,*ST国化,5,51662234.11276749,50308012.48610082,2109598855.4727674,3789821969.28,,
300137.SZ,ST先河,5,96735747.77010721,86374497.99677387,1728619505.8201072,4426803232.5,,
