,factor,date,quantile,ret
0,momentum_20,2025-02-12,Q1,-0.009488044731319114
1,momentum_20,2025-02-13,Q1,0.02116517549076207
2,momentum_20,2025-02-14,Q1,0.02382963828304195
3,momentum_20,2025-02-17,Q1,0.035289644160716165
4,momentum_20,2025-02-18,Q1,-0.0008028853811348707
5,momentum_20,2025-02-19,Q1,0.02078274380948737
6,momentum_20,2025-02-20,Q1,0.03624105792604418
7,momentum_20,2025-02-21,Q1,0.02189900113442944
8,momentum_20,2025-02-24,Q1,0.015109027374296606
9,momentum_20,2025-02-25,Q1,0.00034608048208107197
10,momentum_20,2025-02-26,Q1,-0.005220267842672059
11,momentum_20,2025-02-27,Q1,-0.0026793770081137845
12,momentum_20,2025-02-28,Q1,0.010292745803009061
13,momentum_20,2025-03-03,Q1,0.019635579317647634
14,momentum_20,2025-03-04,Q1,0.016847114734963125
15,momentum_20,2025-03-05,Q1,0.024326850059225236
16,momentum_20,2025-03-06,Q1,0.011044676920356345
17,momentum_20,2025-03-07,Q1,0.03793143131704442
18,momentum_20,2025-03-10,Q1,0.03482350105043471
19,momentum_20,2025-03-11,Q1,0.030005051863215854
20,momentum_20,2025-03-12,Q1,0.015342574973112862
21,momentum_20,2025-03-13,Q1,0.0243289068523747
22,momentum_20,2025-03-14,Q1,-0.015277931025855175
23,momentum_20,2025-03-17,Q1,-0.04327294281109862
24,momentum_20,2025-03-18,Q1,-0.040056986421121904
25,momentum_20,2025-03-19,Q1,-0.03378939125663839
26,momentum_20,2025-03-20,Q1,-0.0362197040449433
27,momentum_20,2025-03-21,Q1,-0.03472878186340533
28,momentum_20,2025-03-24,Q1,-0.028624826737291855
29,momentum_20,2025-03-25,Q1,-0.0173813743812084
30,momentum_20,2025-03-26,Q1,-0.027458782332122306
31,momentum_20,2025-03-27,Q1,-0.024810767194664636
32,momentum_20,2025-03-28,Q1,-0.13070597741192994
33,momentum_20,2025-03-31,Q1,-0.11631280178021652
34,momentum_20,2025-04-01,Q1,-0.09893038753183399
35,momentum_20,2025-04-02,Q1,-0.07489094750407516
36,momentum_20,2025-04-03,Q1,-0.07178195848003606
37,momentum_20,2025-04-07,Q1,0.1155966161143649
38,momentum_20,2025-04-08,Q1,0.11122071070848737
39,momentum_20,2025-04-09,Q1,0.05058888308413303
40,momentum_20,2025-04-10,Q1,0.018049839323705297
41,momentum_20,2025-04-11,Q1,0.008891950535476027
42,momentum_20,2025-04-14,Q1,0.012476877288551331
43,momentum_20,2025-04-15,Q1,0.007358296874386252
44,momentum_20,2025-04-16,Q1,0.047992575227145645
