,factor,ic_mean,ic_ir,rank_ic_mean,rank_ic_ir,ic_win_rate
0,amount_mean_20,-0.07628438828946206,-0.5379387471518394,-0.1329259670552079,-0.8409681124715294,0.24770642201834864
1,momentum_60,-0.06620925408287953,-0.4681737144172184,-0.09474536024929274,-0.7303203275507939,0.25688073394495414
2,price_strength_20,-0.07092796932133923,-0.49937801573179325,-0.0943332624441335,-0.6722024292635416,0.2599388379204893
3,momentum_20,-0.061296756301170076,-0.4248355736762697,-0.08762786667176627,-0.6299281610936616,0.27217125382262997
4,volatility_20,-0.052768273272424296,-0.32980427056588835,-0.10546183315670499,-0.6020332401371405,0.3180428134556575
5,turnover_mean_20,-0.055287113098657484,-0.3832527402768632,-0.09490896977705844,-0.5672597283465689,0.3211009174311927
6,unusual_count,0.00887170845896171,0.10162710057718849,0.0072624755037148615,0.09193023439138033,0.5688073394495413
7,capital_flow_strength,0.027906394372476242,0.2286983259503269,0.011176650201316952,0.07739885491336973,0.5779816513761468
