market,code,close,open,high,low,pre_close,server_time,neg_price,vol,cur_vol,amount,in_vol,out_vol,s_amount,open_amount,handicap,unknown,rise_speed,short_turnover,min2_amount,opening_rush,active_flag,decimal,extra_meta,vol_rise_speed,depth,active,turnover,ts_code,market_cap_yi,name,drop_reason
MARKET.SZ,300513,9.02,8.9,9.09,8.74,8.84,15:33:12.594,0.0,5996000,46500,53376564.0,3195500,2800600,0,23.76,"{'bid': [{'price': 9.0, 'vol': 14}], 'ask': [{'price': 9.02, 'vol': 209}]}",0000110101010110,0.33%,0.05%,419428.0,-0.99%,0,0,000000000000000000000000000000000000000000000000,1.02%,-1.82%,2031,2.09,300513.SZ,25.87747368421053,恒实科技,
MARKET.SZ,300514,12.17,11.96,12.29,11.72,11.83,15:33:11.304,0.0,3313100,32000,39768924.0,1743400,1569700,0,5.02,"{'bid': [{'price': 12.15, 'vol': 77}], 'ask': [{'price': 12.17, 'vol': 92}]}",0000000000010110,0.25%,0.07%,389448.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.23%,-22.76%,1777,2.07,300514.SZ,19.478467149758455,友讯达,
MARKET.SZ,300517,12.92,13.01,13.05,12.56,12.72,15:33:10.254,0.0,6774500,50900,87244456.0,2950200,3824300,0,77.41,"{'bid': [{'price': 12.91, 'vol': 215}], 'ask': [{'price': 12.92, 'vol': 21}]}",0000010100010110,0.47%,0.17%,657616.0,1.40%,0,0,000000000000000000000000000000000000000000000000,1.23%,28.25%,2647,5.37,300517.SZ,16.299169459962755,海波重科,
MARKET.SZ,300522,13.52,12.85,13.59,12.71,12.8,15:33:09.894,18.0,9156500,103100,121726080.0,3746100,5410400,0,26.09,"{'bid': [{'price': 13.51, 'vol': 67}], 'ask': [{'price': 13.52, 'vol': 1210}]}",0000010100010110,0.07%,0.14%,1393896.0,0.55%,0,0,000000000000000000000000000000000000000000000000,1.17%,-61.05%,2885,3.48,300522.SZ,35.57352873563219,世名科技,
MARKET.SZ,300525,9.41,9.37,9.48,9.22,9.28,15:33:12.360,0.0,12679200,157300,118536816.0,6286800,6392400,0,103.82,"{'bid': [{'price': 9.4, 'vol': 414}], 'ask': [{'price': 9.41, 'vol': 73}]}",0000011000010110,0.00%,0.04%,1480224.0,-0.31%,0,0,000000000000000000000000000000000000000000000000,0.99%,-62.47%,2460,2.03,300525.SZ,58.77402561576356,博思软件,
MARKET.SZ,300532,7.72,7.67,7.75,7.53,7.65,15:33:13.374,0.0,6830600,91300,52235520.0,3278500,3552200,0,20.71,"{'bid': [{'price': 7.72, 'vol': 4}], 'ask': [{'price': 7.73, 'vol': 1421}]}",0001010001010110,0.13%,0.05%,704948.0,-0.38%,0,0,000000000000000000000000000000000000000000000000,1.49%,-66.98%,1746,1.13,300532.SZ,46.66569203539824,今天国际,
MARKET.SZ,300534,8.54,8.54,8.56,8.32,8.42,15:33:12.882,0.0,4138700,59000,34953288.0,1823400,2315300,0,16.48,"{'bid': [{'price': 8.53, 'vol': 156}], 'ask': [{'price': 8.54, 'vol': 29}]}",0000000000010110,0.23%,0.05%,503864.0,1.30%,0,0,000000000000000000000000000000000000000000000000,1.16%,18.61%,1534,1.37,300534.SZ,25.798903649635033,陇神戎发,
MARKET.SZ,300536,13.46,13.5,14.19,13.43,13.33,15:33:09.930,0.0,26596300,485900,367682272.0,11207800,15388500,0,50.36,"{'bid': [{'price': 13.46, 'vol': 128}], 'ask': [{'price': 13.47, 'vol': 107}]}",0000011110010110,-0.29%,0.34%,6540224.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.69%,71.18%,3221,9.07,300536.SZ,39.46926108048512,农尚环境,
MARKET.SZ,300541,12.19,12.13,12.25,12.01,12.04,15:33:10.692,4.0,7900200,104100,95766808.0,3915900,3984400,0,32.27,"{'bid': [{'price': 12.19, 'vol': 62}], 'ask': [{'price': 12.2, 'vol': 201}]}",0001100010010110,0.08%,0.06%,1269000.0,0.00%,0,0,000000000000000000000000000000000000000000000000,1.44%,37.08%,2363,2.04,300541.SZ,47.20756764705881,先进数通,
MARKET.SZ,300542,14.84,15.1,15.28,14.75,15.03,15:33:09.702,0.0,5194000,82100,77260632.0,3027400,2166600,0,8.91,"{'bid': [{'price': 14.84, 'vol': 56}], 'ask': [{'price': 14.85, 'vol': 312}]}",0000000000010110,0.07%,0.08%,1218384.0,0.47%,0,0,000000000000000000000000000000000000000000000000,1.29%,26.70%,1781,2.1,300542.SZ,36.70426666666666,新晨科技,
MARKET.SZ,300543,9.39,9.25,9.46,9.02,9.18,15:33:12.372,0.0,6245000,111000,57653976.0,2960100,3284900,0,10.45,"{'bid': [{'price': 9.38, 'vol': 720}], 'ask': [{'price': 9.39, 'vol': 439}]}",0000101010010110,0.21%,0.07%,1042284.0,1.09%,0,0,000000000000000000000000000000000000000000000000,1.30%,24.89%,1869,2.5,300543.SZ,23.45622,朗科智能,
MARKET.SZ,300550,13.52,13.47,13.73,13.36,13.38,15:33:09.894,0.0,5150500,30700,69703376.0,2684800,2465800,0,18.86,"{'bid': [{'price': 13.52, 'vol': 222}], 'ask': [{'price': 13.53, 'vol': 376}]}",0001000110010110,0.00%,0.08%,415056.0,1.28%,0,0,000000000000000000000000000000000000000000000000,0.97%,-22.93%,2168,1.96,300550.SZ,35.5279387755102,和仁科技,
MARKET.SZ,300551,13.45,13.7,13.95,13.38,13.73,15:33:09.936,0.0,11329200,134800,153661472.0,6933000,4396200,0,29.59,"{'bid': [{'price': 13.45, 'vol': 205}], 'ask': [{'price': 13.47, 'vol': 2}]}",0000000000010110,0.30%,0.18%,1813120.0,0.15%,0,0,000000000000000000000000000000000000000000000000,2.12%,39.07%,2443,3.34,300551.SZ,45.62207784431137,古鳌科技,
