momentum_20,momentum_60,volatility_20,amount_mean_20,price_strength_20,turnover_mean_20,capital_flow_strength,unusual_count
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,-0.9999999999999999,
,,,,,,-0.5,-0.8660254037844387
,,,,,,0.7999999999999999,-0.10540925533894598
,,,,,,0.09912279831823202,0.22578821188852963
,,,,,,0.24357889584100811,0.4610419325965642
,,,,,,0.1407618597853275,0.367938918521345
,,,,,,0.2562148485405437,0.26615764890683546
,,,,,,0.20920941930209364,0.23090640401384058
,,,,,,-0.09004951988434326,0.04868028171594791
,,,,,,-0.0831120956321217,-0.1633320781859252
,,,,,,-0.2184836038188222,-0.1992975435089855
,,,,,,-0.24493947265136048,-0.10151761261627025
,,,,,,-0.17238670864154856,0.0637724179428898
,,,,,,0.01998795267539733,0.001512972048373276
,,,,,,0.1096922392511467,0.03227042627670026
,,,,,,0.17836907985054185,0.04611697608022399
,,,,,,0.11396298962807946,0.05501542516948144
,,,,,,0.1908505575011375,0.056211090340136674
,,,,,,0.18228300814691561,0.046693332811216105
,,,,,,0.05325483394268273,0.015484943172549977
-0.9999999999999999,,-0.9999999999999999,0.9999999999999999,-0.9999999999999999,0.9999999999999999,-0.029082862474349148,-0.01837822962733899
0.5,,1.0,0.5,-1.0,0.5,0.036610768139741394,-0.009578890208560988
0.19999999999999998,,0.39999999999999997,-0.17938727227844728,-0.3518716577540107,-0.05242243864037547,0.02766754538105211,-0.009170222942234582
0.010084033613445379,,0.09243697478991597,-0.3345385578753247,-0.06306306306306306,-0.08062603973432403,0.03623450820738298,0.004483107112560411
-0.016522595469963892,,0.0176168070904913,-0.3974560088216827,-0.043120345003661874,-0.19084969132002416,0.05418092065632485,0.024958079953537972
-0.03710963024557567,,0.22839721254355402,0.07237215428565,-0.15565999513815737,0.03777561918594568,0.1591352095992468,0.03864962492135949
0.010372351209842723,,0.030224455068470952,-0.008004833198082366,-0.2132366822979314,-0.041317322985950186,0.1314119948727212,0.016553443254433493
0.34779238190660827,,0.3227625088090204,0.19999456545340114,0.07518625141812953,0.2548231033091781,0.17091438041620727,0.06567316987970896
0.04215312043805027,,0.22274082586508887,0.030179973413758946,-0.13734369546897743,0.04032364473545706,0.1554010674251099,0.06171338512611447
-0.09355449464625068,,0.3361363274406753,0.10669416522211612,-0.18015329350266504,0.1336792485592549,0.05107147809874955,0.01985670834304334
-0.3210141163907694,,-0.053727004083831326,-0.21385584111122255,-0.27798744761224753,-0.1615059368773293,-0.10135275955887008,-0.005584315452087569
-0.2945580993883485,,-0.13984777440295362,-0.20611494124956875,-0.15802350575420016,-0.225834294012846,-0.1252433740979177,-0.028882626194012828
-0.1635502764108581,,-0.1085853180900221,-0.34330695538009476,-0.2877157305818753,-0.32470730389433783,-0.15762894240662975,-0.01892836977328263
-0.22321422770966687,,-0.25733817840988976,-0.2236440378529172,-0.1996072820871271,-0.20648368863265062,-0.10155011874362944,-0.0004039581565998462
0.05918314627365583,,-0.03955995383704565,-0.04556529113864368,-0.052087873987716526,0.007548895607474574,0.036235381549072944,-0.030862938944740147
