code,vol,name,decimal_point,pre_close,unknown1,market_name,market,ts_code
000001,100,平安银行,2,10.699999809265137,"[3735.4130859375, 12647, 9576]",SZ,MARKET.SZ,000001.SZ
000002,100,万 科Ａ,2,3.4700000286102295,"[5208.85595703125, 12656, 9587]",SZ,MARKET.SZ,000002.SZ
000004,100,*ST国华,2,2.759999990463257,"[45.5533332824707, 12656, 9614]",SZ,MARKET.SZ,000004.SZ
000006,100,深振业Ａ,2,10.460000038146973,"[2354.576171875, 12656, 9589]",SZ,MARKET.SZ,000006.SZ
000007,100,全新好,2,11.619999885559082,"[521.507080078125, 12654, 9090]",SZ,MARKET.SZ,000007.SZ
000008,100,神州高铁,2,2.609999895095825,"[1808.8997802734375, 12673, 9604]",SZ,MARKET.SZ,000008.SZ
000009,100,中国宝安,2,7.75,"[968.0623779296875, 12701, 9372]",SZ,MARKET.SZ,000009.SZ
000010,100,*ST美丽,2,2.3499999046325684,"[1639.7291259765625, 12654, 9615]",SZ,MARKET.SZ,000010.SZ
000011,100,深物业A,2,7.460000038146973,"[207.65647888183594, 12654, 9091]",SZ,MARKET.SZ,000011.SZ
000012,100,南 玻Ａ,2,4.0,"[1138.09033203125, 12695, 9569]",SZ,MARKET.SZ,000012.SZ
000014,100,沙河股份,2,11.1899995803833,"[246.79095458984375, 12657, 9091]",SZ,MARKET.SZ,000014.SZ
000016,100,*ST康佳A,2,3.259999990463257,"[1485.807861328125, 12655, 9091]",SZ,MARKET.SZ,000016.SZ
000017,100,深中华A,2,5.599999904632568,"[269.00714111328125, 12654, 9441]",SZ,MARKET.SZ,000017.SZ
000019,100,深粮控股,2,6.75,"[492.7673034667969, 12697, 9614]",SZ,MARKET.SZ,000019.SZ
000020,100,深华发Ａ,2,12.800000190734863,"[242.5, 12638, 6544]",SZ,MARKET.SZ,000020.SZ
000021,100,深科技,2,36.369998931884766,"[9222.5615234375, 12673, 9615]",SZ,MARKET.SZ,000021.SZ
000025,100,特 力Ａ,2,14.619999885559082,"[171.9497528076172, 12679, 9271]",SZ,MARKET.SZ,000025.SZ
000026,100,飞亚达,2,23.229999542236328,"[1026.6009521484375, 12683, 9569]",SZ,MARKET.SZ,000026.SZ
000027,100,深圳能源,2,7.25,"[3003.42578125, 12681, 9288]",SZ,MARKET.SZ,000027.SZ
000028,100,国药一致,2,23.899999618530273,"[87.734619140625, 12656, 9588]",SZ,MARKET.SZ,000028.SZ
000029,100,深深房Ａ,2,24.670000076293945,"[757.5109252929688, 12656, 8571]",SZ,MARKET.SZ,000029.SZ
000030,100,富奥股份,2,4.690000057220459,"[704.141357421875, 12699, 9608]",SZ,MARKET.SZ,000030.SZ
000031,100,大悦城,2,2.640000104904175,"[1440.16845703125, 12656, 9344]",SZ,MARKET.SZ,000031.SZ
000032,100,深桑达Ａ,2,19.1299991607666,"[1524.970458984375, 12652, 9614]",SZ,MARKET.SZ,000032.SZ
000034,100,神州数码,2,28.010000228881836,"[2291.740966796875, 12693, 9628]",SZ,MARKET.SZ,000034.SZ
000035,100,中国天楹,2,6.03000020980835,"[1753.0274658203125, 12655, 9615]",SZ,MARKET.SZ,000035.SZ
000036,100,华联控股,2,5.400000095367432,"[1626.4599609375, 12679, 9615]",SZ,MARKET.SZ,000036.SZ
000037,100,深南电A,2,9.609999656677246,"[1105.1761474609375, 12654, 9438]",SZ,MARKET.SZ,000037.SZ
000039,100,中集集团,2,10.1899995803833,"[3254.015380859375, 12654, 9317]",SZ,MARKET.SZ,000039.SZ
000042,100,中洲控股,2,10.020000457763672,"[249.0807342529297, 12672, 9604]",SZ,MARKET.SZ,000042.SZ
000045,100,深纺织Ａ,2,11.8100004196167,"[362.6575012207031, 12656, 9585]",SZ,MARKET.SZ,000045.SZ
000048,100,京基智农,2,13.680000305175781,"[375.9449157714844, 12656, 9608]",SZ,MARKET.SZ,000048.SZ
000049,100,德赛电池,2,26.420000076293945,"[483.4535827636719, 12671, 9637]",SZ,MARKET.SZ,000049.SZ
000050,100,深天马Ａ,2,7.599999904632568,"[1669.3878173828125, 12700, 9638]",SZ,MARKET.SZ,000050.SZ
000055,100,方大集团,2,3.509999990463257,"[606.8355102539062, 12652, 9594]",SZ,MARKET.SZ,000055.SZ
000056,100,*ST皇庭,2,1.3200000524520874,"[2268.215576171875, 12654, 9610]",SZ,MARKET.SZ,000056.SZ
000058,100,深 赛 格,2,7.53000020980835,"[309.56866455078125, 12679, 9636]",SZ,MARKET.SZ,000058.SZ
000059,100,华锦股份,2,4.75,"[1050.3870849609375, 12699, 9609]",SZ,MARKET.SZ,000059.SZ
000060,100,中金岭南,2,6.880000114440918,"[8260.50390625, 12657, 9608]",SZ,MARKET.SZ,000060.SZ
000061,100,农 产 品,2,6.480000019073486,"[685.56298828125, 12681, 9582]",SZ,MARKET.SZ,000061.SZ
000062,100,深圳华强,2,33.22999954223633,"[2538.57861328125, 12671, 9608]",SZ,MARKET.SZ,000062.SZ
000063,100,中兴通讯,2,34.83000183105469,"[5380.4853515625, 12682, 9562]",SZ,MARKET.SZ,000063.SZ
000065,100,北方国际,2,12.199999809265137,"[861.8033447265625, 12650, 9525]",SZ,MARKET.SZ,000065.SZ
000066,100,中国长城,2,20.299999237060547,"[16441.703125, 12699, 9615]",SZ,MARKET.SZ,000066.SZ
000068,100,华控赛格,2,3.130000114440918,"[843.4664916992188, 12652, 7049]",SZ,MARKET.SZ,000068.SZ
000069,100,华侨城Ａ,2,1.9600000381469727,"[1904.596923828125, 12673, 9586]",SZ,MARKET.SZ,000069.SZ
000070,100,特发信息,2,17.989999771118164,"[4507.56103515625, 12677, 9626]",SZ,MARKET.SZ,000070.SZ
000078,100,ST海王,2,1.7200000286102295,"[3463.027587890625, 12656, 9616]",SZ,MARKET.SZ,000078.SZ
000088,100,盐 田 港,2,4.489999771118164,"[1166.2589111328125, 12642, 9609]",SZ,MARKET.SZ,000088.SZ
000089,100,深圳机场,2,6.730000019073486,"[375.110107421875, 12644, 9610]",SZ,MARKET.SZ,000089.SZ
000090,100,天健集团,2,3.2699999809265137,"[646.0147094726562, 12654, 9607]",SZ,MARKET.SZ,000090.SZ
000096,100,广聚能源,2,8.640000343322754,"[244.35220336914062, 12654, 9316]",SZ,MARKET.SZ,000096.SZ
000099,100,中信海直,2,16.850000381469727,"[359.1399841308594, 12652, 9629]",SZ,MARKET.SZ,000099.SZ
000100,100,TCL科技,2,4.369999885559082,"[36913.53125, 12656, 9583]",SZ,MARKET.SZ,000100.SZ
000151,100,中成股份,2,11.420000076293945,"[349.5231628417969, 12701, 9575]",SZ,MARKET.SZ,000151.SZ
000153,100,丰原药业,2,5.940000057220459,"[256.4367370605469, 12654, 9615]",SZ,MARKET.SZ,000153.SZ
000155,100,川能动力,2,14.380000114440918,"[2194.585205078125, 12656, 9491]",SZ,MARKET.SZ,000155.SZ
000156,100,华数传媒,2,7.25,"[669.850830078125, 12650, 9365]",SZ,MARKET.SZ,000156.SZ
000157,100,中联重科,2,7.269999980926514,"[3275.83056640625, 12654, 9586]",SZ,MARKET.SZ,000157.SZ
000158,100,常山北明,2,15.420000076293945,"[1217.808349609375, 12656, 9589]",SZ,MARKET.SZ,000158.SZ
000159,100,国际实业,2,6.800000190734863,"[2194.874755859375, 12699, 9597]",SZ,MARKET.SZ,000159.SZ
000166,100,申万宏源,2,4.46999979019165,"[4426.43017578125, 12657, 9482]",SZ,MARKET.SZ,000166.SZ
000301,100,东方盛虹,2,12.520000457763672,"[1036.453369140625, 12654, 9588]",SZ,MARKET.SZ,000301.SZ
000333,100,美的集团,2,81.5,"[1460.9912109375, 12657, 9627]",SZ,MARKET.SZ,000333.SZ
000338,100,潍柴动力,2,32.279998779296875,"[4501.677734375, 12696, 9582]",SZ,MARKET.SZ,000338.SZ
000400,100,许继电气,2,25.93000030517578,"[1114.902099609375, 12618, 9597]",SZ,MARKET.SZ,000400.SZ
000401,100,金隅冀东,2,3.9600000381469727,"[370.933837890625, 12656, 9638]",SZ,MARKET.SZ,000401.SZ
000402,100,金 融 街,2,2.869999885559082,"[3485.41796875, 12669, 9615]",SZ,MARKET.SZ,000402.SZ
000403,100,派林生物,2,11.550000190734863,"[637.4622802734375, 12695, 9615]",SZ,MARKET.SZ,000403.SZ
000404,100,长虹华意,2,9.869999885559082,"[2036.383056640625, 12670, 9623]",SZ,MARKET.SZ,000404.SZ
000407,100,胜利股份,2,4.849999904632568,"[1445.3143310546875, 12652, 9580]",SZ,MARKET.SZ,000407.SZ
000408,100,藏格矿业,2,78.19000244140625,"[684.687255859375, 12691, 9633]",SZ,MARKET.SZ,000408.SZ
000409,100,云鼎科技,2,9.5,"[279.30810546875, 12642, 9595]",SZ,MARKET.SZ,000409.SZ
000410,100,沈阳机床,2,5.75,"[1244.5205078125, 12655, 9609]",SZ,MARKET.SZ,000410.SZ
000411,100,英特集团,2,11.90999984741211,"[636.3046875, 12699, 9609]",SZ,MARKET.SZ,000411.SZ
000415,100,渤海租赁,2,4.139999866485596,"[3528.274658203125, 12655, 9615]",SZ,MARKET.SZ,000415.SZ
000417,100,合百集团,2,9.3100004196167,"[3465.765625, 12654, 9315]",SZ,MARKET.SZ,000417.SZ
000419,100,通程控股,2,5.320000171661377,"[318.6426086425781, 12683, 9344]",SZ,MARKET.SZ,000419.SZ
000420,100,吉林化纤,2,4.670000076293945,"[4703.7431640625, 12654, 9615]",SZ,MARKET.SZ,000420.SZ
000421,100,南京公用,2,6.0,"[365.1282958984375, 12652, 9365]",SZ,MARKET.SZ,000421.SZ
000422,100,湖北宜化,2,14.40999984741211,"[1218.9071044921875, 12653, 9611]",SZ,MARKET.SZ,000422.SZ
000423,100,东阿阿胶,2,49.650001525878906,"[205.6992950439453, 12685, 9635]",SZ,MARKET.SZ,000423.SZ
000425,100,徐工机械,2,9.569999694824219,"[6330.1806640625, 12680, 9628]",SZ,MARKET.SZ,000425.SZ
000426,100,兴业银锡,2,39.86000061035156,"[3128.763916015625, 12656, 9369]",SZ,MARKET.SZ,000426.SZ
000428,100,华天酒店,2,3.759999990463257,"[625.4152221679688, 12652, 9369]",SZ,MARKET.SZ,000428.SZ
000429,100,粤高速Ａ,2,13.239999771118164,"[276.102294921875, 12656, 9569]",SZ,MARKET.SZ,000429.SZ
000430,100,张家界,2,7.360000133514404,"[847.92724609375, 12624, 9492]",SZ,MARKET.SZ,000430.SZ
000488,100,ST晨鸣,2,2.309999942779541,"[807.4956665039062, 12656, 9586]",SZ,MARKET.SZ,000488.SZ
