TopK,Precision@K,Recall@K,平均最大涨幅,中位最大涨幅,平均最大回撤,平均起爆速度,盈亏比,样本日数
10,0.09000000000000001,0.01594602825835746,0.10305546779819102,0.06161006728351004,-0.05014389446379028,6.925663716814159,2.0551947330817923,340
20,0.07867647058823529,0.02791519905010559,0.0989852497194683,0.05532161749342168,-0.045738793455449435,7.226843657817109,2.1641421262211926,340
50,0.07364705882352943,0.06487031958815577,0.0971800458761546,0.054824137179150245,-0.03988322364017893,7.7197050147492625,2.436614621548646,340
100,0.0685294117647059,0.12165420477095268,0.0963611624153648,0.05453154370125701,-0.03568196748151965,8.175309734513274,2.7005563094375895,340
