,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1112148.7406224066
Total Return [%],11.21487406224067
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000091
Total Fees Paid,0.0
Max Drawdown [%],19.92324138537161
Max Drawdown Duration,158 days 00:00:00
Total Trades,45635
Total Closed Trades,45375
Total Open Trades,260
Open Trade PnL,-18251.324448165564
Win Rate [%],55.993388429752066
Best Trade [%],65.37006848428936
Worst Trade [%],-33.22264167928093
Avg Winning Trade [%],4.370535346589956
Avg Losing Trade [%],-4.004243243882312
Avg Winning Trade Duration,4 days 02:57:20.595111583
Avg Losing Trade Duration,5 days 23:12:37.175398633
Profit Factor,1.0971398420973797
Expectancy,2.554848510607183
Sharpe Ratio,0.540876570975787
Calmar Ratio,0.5728296274223564
Omega Ratio,1.081654154496693
Sortino Ratio,0.7017167379880299
