,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,895192.5559039465
Total Return [%],-10.48074440960535
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000387
Total Fees Paid,0.0
Max Drawdown [%],24.61842087114491
Max Drawdown Duration,352 days 00:00:00
Total Trades,48870
Total Closed Trades,48610
Total Open Trades,260
Open Trade PnL,8849.682102639516
Win Rate [%],67.57868751285744
Best Trade [%],287.40090444393496
Worst Trade [%],-29.574308059536243
Avg Winning Trade [%],9.003806441799975
Avg Losing Trade [%],-3.752157648107187
Avg Winning Trade Duration,5 days 05:29:25.479452054
Avg Losing Trade Duration,4 days 10:17:06.196279666
Profit Factor,0.9201369149221571
Expectancy,-2.6573905935575475
Sharpe Ratio,-0.2905483388692915
Calmar Ratio,-0.43245011469717626
Omega Ratio,0.9588327130071164
Sortino Ratio,-0.3687282902937438
