factor,date,quantile,ret
custom__simple_reversal_5d,2024-12-05,Q2,0.07036876206906148
custom__simple_reversal_5d,2024-12-05,Q3,0.07755420175939834
custom__simple_reversal_5d,2024-12-05,Q4,0.07743866669141783
custom__simple_reversal_5d,2024-12-05,Q5,0.08114129615125178
custom__simple_reversal_5d,2024-12-06,Q1,0.09048939017905182
custom__simple_reversal_5d,2024-12-06,Q2,0.06618027966982525
custom__simple_reversal_5d,2024-12-06,Q3,0.06157750040198583
custom__simple_reversal_5d,2024-12-06,Q4,0.06467947863643984
custom__simple_reversal_5d,2024-12-06,Q5,0.07323863002261409
custom__simple_reversal_5d,2024-12-09,Q1,0.07967449859735858
custom__simple_reversal_5d,2024-12-09,Q2,0.0594011210719949
custom__simple_reversal_5d,2024-12-09,Q3,0.058861955369765226
custom__simple_reversal_5d,2024-12-09,Q4,0.0794802778121819
custom__simple_reversal_5d,2024-12-09,Q5,0.0870730679782576
custom__simple_reversal_5d,2024-12-10,Q1,0.07087022495315468
custom__simple_reversal_5d,2024-12-10,Q2,0.056251288429145535
custom__simple_reversal_5d,2024-12-10,Q3,0.05723094487332957
custom__simple_reversal_5d,2024-12-10,Q4,0.06147345899176251
custom__simple_reversal_5d,2024-12-10,Q5,0.07591531968596106
custom__simple_reversal_5d,2024-12-11,Q1,0.06368639436702722
custom__simple_reversal_5d,2024-12-11,Q2,0.03957570787668007
custom__simple_reversal_5d,2024-12-11,Q3,0.03827372488675762
custom__simple_reversal_5d,2024-12-11,Q4,0.03420697580017426
custom__simple_reversal_5d,2024-12-11,Q5,0.047908319874151666
custom__simple_reversal_5d,2024-12-12,Q1,0.03793008627200574
custom__simple_reversal_5d,2024-12-12,Q2,0.012820184150834362
custom__simple_reversal_5d,2024-12-12,Q3,0.017441425909290195
custom__simple_reversal_5d,2024-12-12,Q4,0.004974826055983659
custom__simple_reversal_5d,2024-12-12,Q5,0.01574584657632163
custom__simple_reversal_5d,2024-12-13,Q1,0.033311050254118055
custom__simple_reversal_5d,2024-12-13,Q2,0.01948800978928135
custom__simple_reversal_5d,2024-12-13,Q3,0.02806654093906458
custom__simple_reversal_5d,2024-12-13,Q4,0.025476758194934526
custom__simple_reversal_5d,2024-12-13,Q5,0.026977362764712038
custom__simple_reversal_5d,2024-12-16,Q1,0.006605015708346817
custom__simple_reversal_5d,2024-12-16,Q2,0.0038908255666369805
custom__simple_reversal_5d,2024-12-16,Q3,0.013057308153090592
custom__simple_reversal_5d,2024-12-16,Q4,0.01929573578045514
custom__simple_reversal_5d,2024-12-16,Q5,0.023750345404383557
custom__simple_reversal_5d,2024-12-17,Q1,0.04757184036485218
custom__simple_reversal_5d,2024-12-17,Q2,0.04871059159685999
custom__simple_reversal_5d,2024-12-17,Q3,0.05630515587234543
custom__simple_reversal_5d,2024-12-17,Q4,0.05729868477710682
custom__simple_reversal_5d,2024-12-17,Q5,0.04889953425894553
custom__simple_reversal_5d,2024-12-18,Q1,0.04366974324179434
custom__simple_reversal_5d,2024-12-18,Q2,0.03264750398788499
custom__simple_reversal_5d,2024-12-18,Q3,0.041335058486569896
custom__simple_reversal_5d,2024-12-18,Q4,0.044209895691876194
custom__simple_reversal_5d,2024-12-18,Q5,0.04214137012558469
custom__simple_reversal_5d,2024-12-19,Q1,0.04568141416075576
custom__simple_reversal_5d,2024-12-19,Q2,0.03778290534615386
custom__simple_reversal_5d,2024-12-19,Q3,0.04321106202977633
custom__simple_reversal_5d,2024-12-19,Q4,0.025945205434432538
custom__simple_reversal_5d,2024-12-19,Q5,0.03511029789397866
custom__simple_reversal_5d,2024-12-20,Q1,0.03297646045226886
custom__simple_reversal_5d,2024-12-20,Q2,-0.0024076795967229014
custom__simple_reversal_5d,2024-12-20,Q3,0.000906138899979764
custom__simple_reversal_5d,2024-12-20,Q4,-0.008903755591287572
custom__simple_reversal_5d,2024-12-20,Q5,-0.013101280564732762
custom__simple_reversal_5d,2024-12-23,Q1,0.060485544942884245
custom__simple_reversal_5d,2024-12-23,Q2,0.03885542162058021
custom__simple_reversal_5d,2024-12-23,Q3,0.035897746420363454
custom__simple_reversal_5d,2024-12-23,Q4,0.0403635662079768
custom__simple_reversal_5d,2024-12-23,Q5,0.03893277513256786
custom__simple_reversal_5d,2024-12-24,Q1,0.047035294819243643
custom__simple_reversal_5d,2024-12-24,Q2,0.019599269454621614
custom__simple_reversal_5d,2024-12-24,Q3,0.027785300793288864
custom__simple_reversal_5d,2024-12-24,Q4,0.016262732018967968
custom__simple_reversal_5d,2024-12-24,Q5,0.03192367689478345
custom__simple_reversal_5d,2024-12-25,Q1,0.0630331280441352
custom__simple_reversal_5d,2024-12-25,Q2,0.03202007456090836
custom__simple_reversal_5d,2024-12-25,Q3,0.04892412835401664
custom__simple_reversal_5d,2024-12-25,Q4,0.05613094262861063
custom__simple_reversal_5d,2024-12-25,Q5,0.058751543859799256
custom__simple_reversal_5d,2024-12-26,Q1,0.04207144759424924
custom__simple_reversal_5d,2024-12-26,Q2,0.03430734578854448
custom__simple_reversal_5d,2024-12-26,Q3,0.03168924384596731
custom__simple_reversal_5d,2024-12-26,Q4,0.03201724370396325
custom__simple_reversal_5d,2024-12-26,Q5,0.03845910928070859
custom__simple_reversal_5d,2024-12-27,Q1,0.04480525908690331
custom__simple_reversal_5d,2024-12-27,Q2,0.007687807743487259
custom__simple_reversal_5d,2024-12-27,Q3,0.016077940968939945
custom__simple_reversal_5d,2024-12-27,Q4,0.0024144643107641434
custom__simple_reversal_5d,2024-12-27,Q5,0.010346151985852162
custom__simple_reversal_5d,2024-12-30,Q1,0.032895879609263476
custom__simple_reversal_5d,2024-12-30,Q2,0.010481690507028334
custom__simple_reversal_5d,2024-12-30,Q3,-0.00022900648829072577
custom__simple_reversal_5d,2024-12-30,Q4,0.009251497125198632
custom__simple_reversal_5d,2024-12-30,Q5,0.008607874537262226
custom__simple_reversal_5d,2024-12-31,Q1,0.05750991599017473
custom__simple_reversal_5d,2024-12-31,Q2,0.018161019120408368
custom__simple_reversal_5d,2024-12-31,Q3,0.03155016140728289
custom__simple_reversal_5d,2024-12-31,Q4,0.01792757858835063
custom__simple_reversal_5d,2024-12-31,Q5,0.033076100616792135
custom__simple_reversal_5d,2025-01-02,Q1,0.049878332716998985
custom__simple_reversal_5d,2025-01-02,Q2,0.03979602197262854
custom__simple_reversal_5d,2025-01-02,Q3,0.04078647529800103
custom__simple_reversal_5d,2025-01-02,Q4,0.040480442374306286
custom__simple_reversal_5d,2025-01-02,Q5,0.038183674545741564
custom__simple_reversal_5d,2025-01-03,Q1,0.06817513351533014
custom__simple_reversal_5d,2025-01-03,Q2,0.057771195641657475
custom__simple_reversal_5d,2025-01-03,Q3,0.08880000653167489
custom__simple_reversal_5d,2025-01-03,Q4,0.10012459717051853
custom__simple_reversal_5d,2025-01-03,Q5,0.10696247295109954
custom__simple_reversal_5d,2025-01-06,Q1,0.0582409068023042
custom__simple_reversal_5d,2025-01-06,Q2,0.06494637955276626
custom__simple_reversal_5d,2025-01-06,Q3,0.10455886040960037
custom__simple_reversal_5d,2025-01-06,Q4,0.11831721229830958
custom__simple_reversal_5d,2025-01-06,Q5,0.1312338572309249
custom__simple_reversal_5d,2025-01-07,Q1,0.07222679109360196
custom__simple_reversal_5d,2025-01-07,Q2,0.05366415585708416
custom__simple_reversal_5d,2025-01-07,Q3,0.06583670065770719
custom__simple_reversal_5d,2025-01-07,Q4,0.08247082261452669
custom__simple_reversal_5d,2025-01-07,Q5,0.08823638799534592
custom__simple_reversal_5d,2025-01-08,Q1,0.0771551602347777
custom__simple_reversal_5d,2025-01-08,Q2,0.0822895384837355
custom__simple_reversal_5d,2025-01-08,Q3,0.06992030044000792
custom__simple_reversal_5d,2025-01-08,Q4,0.07490219657781118
custom__simple_reversal_5d,2025-01-08,Q5,0.08949030740288137
custom__simple_reversal_5d,2025-01-09,Q1,0.080761499030925
custom__simple_reversal_5d,2025-01-09,Q2,0.09611736010979002
custom__simple_reversal_5d,2025-01-09,Q3,0.08299417373826155
custom__simple_reversal_5d,2025-01-09,Q4,0.08027153337570136
custom__simple_reversal_5d,2025-01-09,Q5,0.07629003795923374
custom__simple_reversal_5d,2025-01-10,Q1,0.14169642744501648
custom__simple_reversal_5d,2025-01-10,Q2,0.13984793756400127
custom__simple_reversal_5d,2025-01-10,Q3,0.12348293220530011
custom__simple_reversal_5d,2025-01-10,Q4,0.10715850591509696
custom__simple_reversal_5d,2025-01-10,Q5,0.11481655262697281
