datetime,custom__simple_reversal_5d,custom__volume_breakout_pullback,custom__volume_breakout_pullback_score
2024-11-01,,,
2024-11-04,,,
2024-11-05,,,
2024-11-06,,,
2024-11-07,,,
2024-11-08,-0.10399107578611226,,
2024-11-11,0.10604577626755181,,
2024-11-12,0.03613303578308666,,
2024-11-13,0.04902248739792345,,
2024-11-14,0.07323865930957532,,
2024-11-15,0.09028569899033731,,
2024-11-18,0.2068915922697601,,
2024-11-19,0.05597235130650989,,
2024-11-20,-0.0016021844377869983,,
2024-11-21,0.02000582686366691,,
2024-11-22,0.08789950887493858,,
2024-11-25,-0.007835973732024605,,
2024-11-26,-0.05315636027169547,,
2024-11-27,-0.03632189963045538,,
2024-11-28,0.003348764605831113,,
2024-11-29,-0.019000823750990704,,
2024-12-02,-0.07349524522227562,,
2024-12-03,-0.040654563522017496,,
2024-12-04,0.02564697866560749,,
2024-12-05,0.04813811870523494,,
2024-12-06,-0.018096451202829215,,
2024-12-09,0.11549643834360682,,
2024-12-10,0.07303205953246032,,
2024-12-11,0.009923210421286202,,
2024-12-12,-0.07338166493226328,,
2024-12-13,-0.030436753691795833,,
2024-12-16,0.17999502191015582,,
2024-12-17,0.15482288151078538,,
2024-12-18,0.09661912117544405,,
2024-12-19,0.009534067771188374,,
2024-12-20,-0.21520089663681244,,
2024-12-23,-0.16786149488919355,,
2024-12-24,-0.07718164148079934,,
2024-12-25,0.0860408109164002,,
2024-12-26,0.11884869955966472,,
2024-12-27,-0.17841775102786428,,
2024-12-30,-0.05796496210256719,,
2024-12-31,-0.044980127301897994,,
2025-01-02,0.035319090846243045,,
2025-01-03,0.2784641316952789,,
2025-01-06,0.39445937480626403,,
2025-01-07,0.15053949818054574,,
2025-01-08,0.10113239884010167,,
2025-01-09,-0.0001880969299860736,,
2025-01-10,-0.1250430046856214,,
2025-01-13,-0.17973165913085395,,
2025-01-14,-0.12773214376039901,,
2025-01-15,-0.11102198953954963,,
2025-01-16,0.020316692994092174,,
2025-01-17,-0.08587351028490063,,
2025-01-20,-0.0984406098237147,,
2025-01-21,0.12984734603752912,,
2025-01-22,0.16434960295711115,,
2025-01-23,0.09753973430106268,,
2025-01-24,-0.08561693572268607,,
2025-01-27,0.17695901201314207,,
2025-02-05,-0.00495594026356498,,
2025-02-06,-0.22529423854418928,,
