,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,951016.5945425278
Total Return [%],-4.898340545747224
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000175
Total Fees Paid,0.0
Max Drawdown [%],23.104791483828812
Max Drawdown Duration,329 days 00:00:00
Total Trades,48162
Total Closed Trades,47902
Total Open Trades,260
Open Trade PnL,32040.242106114772
Win Rate [%],71.0596634796042
Best Trade [%],181.89358851493023
Worst Trade [%],-29.566441382348657
Avg Winning Trade [%],10.097375459431996
Avg Losing Trade [%],-3.8586594273920887
Avg Winning Trade Duration,8 days 10:43:39.700931284
Avg Losing Trade Duration,5 days 16:09:06.928639252
Profit Factor,0.935238626800789
Expectancy,-2.0195680428771254
Sharpe Ratio,-0.0646681670987122
Calmar Ratio,-0.21545898212439082
Omega Ratio,0.9907319568910252
Sortino Ratio,-0.08247433803841837
