date,ts_code,weight
2024-12-23,000100.SZ,0.0
2024-12-23,000417.SZ,0.0
2024-12-23,000510.SZ,0.0
2024-12-23,000555.SZ,0.0
2024-12-23,000564.SZ,0.0
2024-12-23,000725.SZ,0.0
2024-12-23,002036.SZ,0.0
2024-12-23,002328.SZ,0.0
2024-12-23,002342.SZ,0.0
2024-12-23,002421.SZ,0.0
2024-12-23,002442.SZ,0.0
2024-12-23,002617.SZ,0.0
2024-12-23,002766.SZ,0.0
2024-12-23,603278.SH,0.0
2024-12-23,603158.SH,0.0
2024-12-23,601992.SH,0.0
2024-12-23,601991.SH,0.0
2024-12-23,601975.SH,0.0
2024-12-23,601727.SH,0.0
2024-12-23,600936.SH,0.0
2024-12-23,600909.SH,0.0
2024-12-23,600707.SH,0.0
2024-12-23,600667.SH,0.0
2024-12-23,600601.SH,0.0
2024-12-23,600578.SH,0.0
2024-12-23,600545.SH,0.0
2024-12-23,600186.SH,0.0
2024-12-23,600172.SH,0.0
2024-12-23,600157.SH,0.0
2024-12-23,600156.SH,0.0
2024-12-30,000100.SZ,0.03333333333333333
2024-12-30,000417.SZ,0.03333333333333333
2024-12-30,000510.SZ,0.03333333333333333
2024-12-30,000555.SZ,0.03333333333333333
2024-12-30,000564.SZ,0.03333333333333333
2024-12-30,000725.SZ,0.03333333333333333
2024-12-30,002036.SZ,0.03333333333333333
2024-12-30,002328.SZ,0.03333333333333333
2024-12-30,002342.SZ,0.03333333333333333
2024-12-30,002421.SZ,0.03333333333333333
2024-12-30,002442.SZ,0.03333333333333333
2024-12-30,002617.SZ,0.03333333333333333
2024-12-30,002766.SZ,0.03333333333333333
2024-12-30,603278.SH,0.03333333333333333
2024-12-30,603158.SH,0.03333333333333333
2024-12-30,601992.SH,0.03333333333333333
2024-12-30,601991.SH,0.03333333333333333
2024-12-30,601975.SH,0.03333333333333333
2024-12-30,601727.SH,0.03333333333333333
2024-12-30,600936.SH,0.03333333333333333
2024-12-30,600909.SH,0.03333333333333333
2024-12-30,600707.SH,0.03333333333333333
2024-12-30,600667.SH,0.03333333333333333
2024-12-30,600601.SH,0.03333333333333333
2024-12-30,600578.SH,0.03333333333333333
2024-12-30,600545.SH,0.03333333333333333
2024-12-30,600186.SH,0.03333333333333333
2024-12-30,600172.SH,0.03333333333333333
2024-12-30,600157.SH,0.03333333333333333
2024-12-30,600156.SH,0.03333333333333333
2025-01-06,000100.SZ,0.03333333333333333
2025-01-06,000417.SZ,0.03333333333333333
2025-01-06,000510.SZ,0.03333333333333333
2025-01-06,000555.SZ,0.03333333333333333
2025-01-06,000564.SZ,0.03333333333333333
2025-01-06,000725.SZ,0.03333333333333333
2025-01-06,002036.SZ,0.03333333333333333
2025-01-06,002328.SZ,0.03333333333333333
2025-01-06,002342.SZ,0.03333333333333333
2025-01-06,002421.SZ,0.03333333333333333
2025-01-06,002442.SZ,0.03333333333333333
2025-01-06,002617.SZ,0.03333333333333333
2025-01-06,002766.SZ,0.03333333333333333
2025-01-06,603278.SH,0.03333333333333333
2025-01-06,603158.SH,0.03333333333333333
2025-01-06,601992.SH,0.03333333333333333
2025-01-06,601991.SH,0.03333333333333333
2025-01-06,601975.SH,0.03333333333333333
2025-01-06,601727.SH,0.03333333333333333
2025-01-06,600936.SH,0.03333333333333333
2025-01-06,600909.SH,0.03333333333333333
2025-01-06,600707.SH,0.03333333333333333
2025-01-06,600667.SH,0.03333333333333333
2025-01-06,600601.SH,0.03333333333333333
2025-01-06,600578.SH,0.03333333333333333
2025-01-06,600545.SH,0.03333333333333333
2025-01-06,600186.SH,0.03333333333333333
2025-01-06,600172.SH,0.03333333333333333
2025-01-06,600157.SH,0.03333333333333333
2025-01-06,600156.SH,0.03333333333333333
2025-01-13,000100.SZ,0.03333333333333333
2025-01-13,000417.SZ,0.03333333333333333
2025-01-13,000510.SZ,0.03333333333333333
2025-01-13,000555.SZ,0.03333333333333333
2025-01-13,000564.SZ,0.03333333333333333
2025-01-13,000725.SZ,0.03333333333333333
2025-01-13,002036.SZ,0.03333333333333333
2025-01-13,002328.SZ,0.03333333333333333
2025-01-13,002342.SZ,0.03333333333333333
2025-01-13,002421.SZ,0.03333333333333333
2025-01-13,002442.SZ,0.03333333333333333
2025-01-13,002617.SZ,0.03333333333333333
2025-01-13,002766.SZ,0.03333333333333333
2025-01-13,603278.SH,0.03333333333333333
2025-01-13,603158.SH,0.03333333333333333
2025-01-13,601992.SH,0.03333333333333333
2025-01-13,601991.SH,0.03333333333333333
2025-01-13,601975.SH,0.03333333333333333
2025-01-13,601727.SH,0.03333333333333333
2025-01-13,600936.SH,0.03333333333333333
2025-01-13,600909.SH,0.03333333333333333
2025-01-13,600707.SH,0.03333333333333333
2025-01-13,600667.SH,0.03333333333333333
2025-01-13,600601.SH,0.03333333333333333
2025-01-13,600578.SH,0.03333333333333333
2025-01-13,600545.SH,0.03333333333333333
2025-01-13,600186.SH,0.03333333333333333
2025-01-13,600172.SH,0.03333333333333333
2025-01-13,600157.SH,0.03333333333333333
2025-01-13,600156.SH,0.03333333333333333
2025-01-20,000100.SZ,0.03333333333333333
2025-01-20,000417.SZ,0.03333333333333333
2025-01-20,000510.SZ,0.03333333333333333
2025-01-20,000555.SZ,0.03333333333333333
2025-01-20,000564.SZ,0.03333333333333333
2025-01-20,000725.SZ,0.03333333333333333
2025-01-20,002036.SZ,0.03333333333333333
2025-01-20,002328.SZ,0.03333333333333333
2025-01-20,002342.SZ,0.03333333333333333
2025-01-20,002421.SZ,0.03333333333333333
2025-01-20,002442.SZ,0.03333333333333333
2025-01-20,002617.SZ,0.03333333333333333
2025-01-20,002766.SZ,0.03333333333333333
2025-01-20,603278.SH,0.03333333333333333
2025-01-20,603158.SH,0.03333333333333333
2025-01-20,601992.SH,0.03333333333333333
2025-01-20,601991.SH,0.03333333333333333
2025-01-20,601975.SH,0.03333333333333333
2025-01-20,601727.SH,0.03333333333333333
2025-01-20,600936.SH,0.03333333333333333
2025-01-20,600909.SH,0.03333333333333333
2025-01-20,600707.SH,0.03333333333333333
2025-01-20,600667.SH,0.03333333333333333
2025-01-20,600601.SH,0.03333333333333333
2025-01-20,600578.SH,0.03333333333333333
2025-01-20,600545.SH,0.03333333333333333
2025-01-20,600186.SH,0.03333333333333333
2025-01-20,600172.SH,0.03333333333333333
2025-01-20,600157.SH,0.03333333333333333
2025-01-20,600156.SH,0.03333333333333333
2025-01-27,000100.SZ,0.03333333333333333
2025-01-27,000417.SZ,0.03333333333333333
2025-01-27,000510.SZ,0.03333333333333333
2025-01-27,000555.SZ,0.03333333333333333
2025-01-27,000564.SZ,0.03333333333333333
2025-01-27,000725.SZ,0.03333333333333333
2025-01-27,002036.SZ,0.03333333333333333
2025-01-27,002328.SZ,0.03333333333333333
2025-01-27,002342.SZ,0.03333333333333333
2025-01-27,002421.SZ,0.03333333333333333
2025-01-27,002442.SZ,0.03333333333333333
2025-01-27,002617.SZ,0.03333333333333333
2025-01-27,002766.SZ,0.03333333333333333
2025-01-27,603278.SH,0.03333333333333333
2025-01-27,603158.SH,0.03333333333333333
2025-01-27,601992.SH,0.03333333333333333
2025-01-27,601991.SH,0.03333333333333333
2025-01-27,601975.SH,0.03333333333333333
2025-01-27,601198.SH,0.0
2025-01-27,600936.SH,0.03333333333333333
2025-01-27,600909.SH,0.03333333333333333
2025-01-27,600707.SH,0.03333333333333333
2025-01-27,600667.SH,0.03333333333333333
2025-01-27,600601.SH,0.03333333333333333
2025-01-27,600578.SH,0.03333333333333333
2025-01-27,600545.SH,0.03333333333333333
2025-01-27,600186.SH,0.03333333333333333
2025-01-27,600172.SH,0.03333333333333333
2025-01-27,600157.SH,0.03333333333333333
2025-01-27,600156.SH,0.03333333333333333
2025-02-05,000100.SZ,0.03333333333333333
2025-02-05,000417.SZ,0.03333333333333333
2025-02-05,000510.SZ,0.03333333333333333
2025-02-05,000555.SZ,0.03333333333333333
2025-02-05,000564.SZ,0.03333333333333333
2025-02-05,000725.SZ,0.03333333333333333
2025-02-05,002036.SZ,0.03333333333333333
2025-02-05,002328.SZ,0.03333333333333333
2025-02-05,002342.SZ,0.03333333333333333
2025-02-05,002421.SZ,0.03333333333333333
2025-02-05,002442.SZ,0.03333333333333333
2025-02-05,002617.SZ,0.03333333333333333
2025-02-05,002766.SZ,0.03333333333333333
2025-02-05,603278.SH,0.03333333333333333
2025-02-05,603158.SH,0.03333333333333333
2025-02-05,601992.SH,0.03333333333333333
2025-02-05,601991.SH,0.03333333333333333
2025-02-05,601975.SH,0.03333333333333333
2025-02-05,601198.SH,0.03333333333333333
2025-02-05,600936.SH,0.03333333333333333
2025-02-05,600909.SH,0.03333333333333333
2025-02-05,600707.SH,0.03333333333333333
2025-02-05,600667.SH,0.03333333333333333
2025-02-05,600601.SH,0.03333333333333333
2025-02-05,600578.SH,0.03333333333333333
2025-02-05,600545.SH,0.03333333333333333
2025-02-05,600186.SH,0.03333333333333333
2025-02-05,600172.SH,0.03333333333333333
2025-02-05,600157.SH,0.03333333333333333
2025-02-05,600156.SH,0.03333333333333333
2025-02-10,000100.SZ,0.03333333333333333
2025-02-10,000417.SZ,0.03333333333333333
2025-02-10,000510.SZ,0.03333333333333333
2025-02-10,000555.SZ,0.03333333333333333
2025-02-10,000564.SZ,0.03333333333333333
2025-02-10,000725.SZ,0.03333333333333333
2025-02-10,002036.SZ,0.03333333333333333
2025-02-10,002328.SZ,0.03333333333333333
2025-02-10,002342.SZ,0.03333333333333333
2025-02-10,002421.SZ,0.03333333333333333
2025-02-10,002442.SZ,0.03333333333333333
2025-02-10,002617.SZ,0.03333333333333333
2025-02-10,002766.SZ,0.03333333333333333
