market,code,close,open,high,low,pre_close,server_time,neg_price,vol,cur_vol,amount,in_vol,out_vol,s_amount,open_amount,handicap,unknown,rise_speed,short_turnover,min2_amount,opening_rush,active_flag,decimal,extra_meta,vol_rise_speed,depth,active,turnover,ts_code,market_cap_yi,name,drop_reason
MARKET.SZ,000004,0.0,0.0,0.0,0.0,2.76,15:00:01.806,0.0,0,0,0.0,0,0,0,0.0,"{'bid': [{'price': 0.0, 'vol': 0}], 'ask': [{'price': 0.0, 'vol': 0}]}",1000000000100000,0.00%,0.00%,0.0,0.00%,0,0,000000000000000000000000000000000000000000000000,0.00%,0.00%,0,,000004.SZ,,*ST国华,无有效价格
MARKET.SZ,000010,2.23,2.24,2.32,2.23,2.35,15:33:16.668,-2.23,39904200,49000,89476720.0,13227100,26677200,0,715.55,"{'bid': [{'price': 0.0, 'vol': 0}], 'ask': [{'price': 2.23, 'vol': 13272}]}",0001100001010110,0.00%,0.02%,109232.0,0.45%,0,0,000000000000000000000000000000000000000000000000,0.14%,0.00%,1219,4.6,000010.SZ,,*ST美丽,ST
MARKET.SZ,000016,3.3,3.26,3.33,3.21,3.26,15:33:16.026,-3.3,27632700,466600,90368432.0,15044900,12587800,0,122.54,"{'bid': [{'price': 3.3, 'vol': 320}], 'ask': [{'price': 3.31, 'vol': 3839}]}",0000010001010110,-0.29%,0.07%,1539776.0,0.31%,0,0,000000000000000000000000000000000000000000000000,1.33%,-37.30%,1665,1.73,000016.SZ,,*ST康佳A,ST
MARKET.SZ,000021,37.73,37.22,37.98,35.9,36.37,15:32:55.368,-37.73,191239500,2232200,7072333312.0,98124100,93115500,0,7233.68,"{'bid': [{'price': 37.72, 'vol': 1832}], 'ask': [{'price': 37.73, 'vol': 3075}]}",0001011100010110,0.03%,0.48%,84221952.0,2.99%,0,0,000000000000000000000000000000000000000000000000,1.25%,-8.52%,4744,12.15,000021.SZ,,深科技,价格>= 15.0
MARKET.SZ,000026,25.55,23.5,25.55,23.5,23.23,15:33:02.676,-25.55,23917300,679500,588024704.0,11523900,12393400,0,2017.94,"{'bid': [{'price': 25.55, 'vol': 18507}], 'ask': [{'price': 0.0, 'vol': 0}]}",0000010011010110,0.00%,0.60%,17361280.0,0.64%,0,0,000000000000000000000000000000000000000000000000,2.48%,0.00%,1744,6.56,000026.SZ,,飞亚达,价格>= 15.0
MARKET.SZ,000028,23.8,23.9,23.94,23.7,23.9,15:33:03.726,-23.8,1750300,38400,41696952.0,949900,800500,0,7.89,"{'bid': [{'price': 23.8, 'vol': 25}], 'ask': [{'price': 23.81, 'vol': 281}]}",0000110100010110,0.04%,0.04%,913916.0,-0.16%,0,0,000000000000000000000000000000000000000000000000,2.07%,31.63%,1485,0.37,000028.SZ,,国药一致,价格>= 15.0
MARKET.SZ,000029,25.5,24.81,26.75,23.26,24.67,15:33:02.706,-25.5,21901900,155600,548283328.0,10166500,11735400,0,97.01,"{'bid': [{'price': 25.5, 'vol': 196}], 'ask': [{'price': 25.53, 'vol': 21}]}",0000010010010110,0.04%,0.12%,3967744.0,-0.35%,0,0,000000000000000000000000000000000000000000000000,0.73%,34.58%,3860,2.46,000029.SZ,,深深房Ａ,价格>= 15.0
MARKET.SZ,000032,19.19,19.25,19.46,18.5,19.13,15:33:06.492,-19.19,35502100,272700,674973888.0,18385300,17116900,0,212.33,"{'bid': [{'price': 19.19, 'vol': 346}], 'ask': [{'price': 19.2, 'vol': 307}]}",0000110101010110,0.00%,0.10%,5232960.0,0.00%,0,0,000000000000000000000000000000000000000000000000,0.90%,-15.70%,4224,3.12,000032.SZ,,深桑达Ａ,价格>= 15.0
MARKET.SZ,000034,29.07,28.3,29.25,27.87,28.01,15:33:00.564,-29.07,49569800,354500,1424713216.0,23308400,26261500,0,633.07,"{'bid': [{'price': 29.07, 'vol': 30}], 'ask': [{'price': 29.08, 'vol': 788}]}",0000111001010110,0.03%,0.13%,10305280.0,0.71%,0,0,000000000000000000000000000000000000000000000000,1.04%,-63.75%,4651,5.84,000034.SZ,,神州数码,价格>= 15.0
MARKET.SZ,000049,27.42,26.42,27.8,26.19,26.42,15:33:01.554,-27.42,11593800,181600,314832000.0,5209900,6383900,0,81.64,"{'bid': [{'price': 27.41, 'vol': 134}], 'ask': [{'price': 27.42, 'vol': 21}]}",0000001010010110,-0.14%,0.19%,4979520.0,0.65%,0,0,000000000000000000000000000000000000000000000000,1.67%,-42.58%,3873,3.02,000049.SZ,,德赛电池,价格>= 15.0
MARKET.SZ,000056,1.26,1.28,1.31,1.25,1.32,15:33:17.250,-1.26,58789300,656900,74347536.0,32384200,26405200,0,155.53,"{'bid': [{'price': 1.25, 'vol': 8816}], 'ask': [{'price': 1.26, 'vol': 892}]}",0001001000010110,0.00%,0.16%,827680.0,0.00%,0,0,000000000000000000000000000000000000000000000000,0.92%,-60.47%,1848,6.51,000056.SZ,,*ST皇庭,ST
MARKET.SZ,000062,34.63,33.05,34.71,33.01,33.23,15:32:57.228,-34.63,58536100,1006100,1991429120.0,27473400,31062700,0,861.94,"{'bid': [{'price': 34.63, 'vol': 2337}], 'ask': [{'price': 34.64, 'vol': 571}]}",0000010000010110,0.12%,0.84%,34843008.0,0.00%,0,0,000000000000000000000000000000000000000000000000,2.25%,11.68%,4699,5.6,000062.SZ,,深圳华强,价格>= 15.0
