,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1004004.4977497685
Total Return [%],0.4004497749768561
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000182
Total Fees Paid,0.0
Max Drawdown [%],20.588646940309825
Max Drawdown Duration,163 days 00:00:00
Total Trades,44223
Total Closed Trades,43963
Total Open Trades,260
Open Trade PnL,32488.54082370746
Win Rate [%],70.90507927120532
Best Trade [%],185.66645114481838
Worst Trade [%],-27.91413797809325
Avg Winning Trade [%],8.864749454469258
Avg Losing Trade [%],-3.8137913617387458
Avg Winning Trade Duration,8 days 19:06:20.187347619
Avg Losing Trade Duration,6 days 04:00:52.438252058
Profit Factor,0.9741279600225325
Expectancy,-0.9631257336479067
Sharpe Ratio,0.1375849850041746
Calmar Ratio,0.019775759754042933
Omega Ratio,1.0211588067828679
Sortino Ratio,0.17397557834279026
