,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,967649.2614344119
Total Return [%],-3.235073856558811
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000236
Total Fees Paid,0.0
Max Drawdown [%],23.075706372352435
Max Drawdown Duration,329 days 00:00:00
Total Trades,43439
Total Closed Trades,43179
Total Open Trades,260
Open Trade PnL,25581.542793495886
Win Rate [%],66.90752449107205
Best Trade [%],181.64591505992132
Worst Trade [%],-32.836855250752095
Avg Winning Trade [%],10.367549513474756
Avg Losing Trade [%],-4.408428794552861
Avg Winning Trade Duration,10 days 07:31:53.271028037
Avg Losing Trade Duration,8 days 18:09:15.411133088
Profit Factor,0.9429921997271057
Expectancy,-1.5627956211630227
Sharpe Ratio,-0.0018997737479118392
Calmar Ratio,-0.14249805052932935
Omega Ratio,0.9997196998389546
Sortino Ratio,-0.0024166230755433217
