,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1072335.6543272913
Total Return [%],7.233565432729123
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000288
Total Fees Paid,0.0
Max Drawdown [%],22.510412927706806
Max Drawdown Duration,218 days 00:00:00
Total Trades,44205
Total Closed Trades,43945
Total Open Trades,260
Open Trade PnL,3689.9804064272453
Win Rate [%],61.24246216861987
Best Trade [%],163.20541760722352
Worst Trade [%],-36.55010929510709
Avg Winning Trade [%],7.746870181747896
Avg Losing Trade [%],-4.444570575832989
Avg Winning Trade Duration,7 days 01:20:41.199420354
Avg Losing Trade Duration,7 days 12:57:03.222832831
Profit Factor,1.061785630755966
Expectancy,1.3992399538797855
Sharpe Ratio,0.4109666527534486
Calmar Ratio,0.3269066863093008
Omega Ratio,1.0618848118471742
Sortino Ratio,0.525964242332286
