,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,866947.6882762071
Total Return [%],-13.305231172379294
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000142
Total Fees Paid,0.0
Max Drawdown [%],26.221410713052062
Max Drawdown Duration,329 days 00:00:00
Total Trades,45842
Total Closed Trades,45582
Total Open Trades,260
Open Trade PnL,2319.4143169909626
Win Rate [%],63.235487692510205
Best Trade [%],163.2054176072235
Worst Trade [%],-34.22811610769481
Avg Winning Trade [%],10.3927797943614
Avg Losing Trade [%],-5.07585979270205
Avg Winning Trade Duration,8 days 17:18:20.083263946
Avg Losing Trade Duration,7 days 07:56:02.756298478
Profit Factor,0.8957749105033477
Expectancy,-3.1874448900521095
Sharpe Ratio,-0.3481436990760901
Calmar Ratio,-0.5152987052875945
Omega Ratio,0.9518409763642133
Sortino Ratio,-0.44713896125441754
