,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1033116.1527238232
Total Return [%],3.311615272382317
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000134
Total Fees Paid,0.0
Max Drawdown [%],14.21604643927764
Max Drawdown Duration,41 days 00:00:00
Total Trades,20781
Total Closed Trades,20521
Total Open Trades,260
Open Trade PnL,-14474.237020813887
Win Rate [%],57.09273427220896
Best Trade [%],48.41772151898735
Worst Trade [%],-25.242685380989265
Avg Winning Trade [%],3.586000166892065
Avg Losing Trade [%],-3.1084813623465024
Avg Winning Trade Duration,3 days 16:26:05.858654831
Avg Losing Trade Duration,4 days 20:19:35.916955017
Profit Factor,1.0873830295421687
Expectancy,1.9058610834365162
Sharpe Ratio,0.28812856100751255
Calmar Ratio,0.23690724622209444
Omega Ratio,1.064038305997258
Sortino Ratio,0.3874637056686627
