,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,944331.1519412932
Total Return [%],-5.566884805870687
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000036
Total Fees Paid,0.0
Max Drawdown [%],23.70953579920171
Max Drawdown Duration,329 days 00:00:00
Total Trades,46968
Total Closed Trades,46708
Total Open Trades,260
Open Trade PnL,21458.424958339445
Win Rate [%],69.56195940738203
Best Trade [%],256.2874251497007
Worst Trade [%],-27.646081584105133
Avg Winning Trade [%],9.590664276655481
Avg Losing Trade [%],-3.780268332009251
Avg Winning Trade Duration,6 days 15:53:51.257886799
Avg Losing Trade Duration,5 days 06:36:45.520471155
Profit Factor,0.9411425412483753
Expectancy,-1.8981149004257922
Sharpe Ratio,-0.0935683930570872
Calmar Ratio,-0.23860620066846103
Omega Ratio,0.9864728668358145
Sortino Ratio,-0.11936967513732989
