,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,631341.9915408264
Total Return [%],-36.86580084591736
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000084
Total Fees Paid,0.0
Max Drawdown [%],38.171330527709365
Max Drawdown Duration,154 days 00:00:00
Total Trades,1786
Total Closed Trades,1766
Total Open Trades,20
Open Trade PnL,-443.14526509317875
Win Rate [%],58.15402038505096
Best Trade [%],102.06608843072328
Worst Trade [%],-31.490972244194865
Avg Winning Trade [%],9.241993338628525
Avg Losing Trade [%],-6.0680054568478505
Avg Winning Trade Duration,4 days 07:45:30.671859785
Avg Losing Trade Duration,4 days 17:51:07.397260274
Profit Factor,0.6560551300652605
Expectancy,-215.97598680047383
Sharpe Ratio,-1.7377179498885258
Calmar Ratio,-0.9784626227255272
Omega Ratio,0.7038090547688861
Sortino Ratio,-2.1504619691675404
