,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1399744.223941018
Total Return [%],39.97442239410181
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000044
Total Fees Paid,0.0
Max Drawdown [%],12.998951861284239
Max Drawdown Duration,42 days 00:00:00
Total Trades,40296
Total Closed Trades,40036
Total Open Trades,260
Open Trade PnL,-19171.13579926442
Win Rate [%],62.93835548006794
Best Trade [%],116.13190713585946
Worst Trade [%],-29.538922143975938
Avg Winning Trade [%],4.1662384993018025
Avg Losing Trade [%],-3.0181322121443164
Avg Winning Trade Duration,5 days 00:55:36.264782919
Avg Losing Trade Duration,6 days 15:33:27.210159770
Profit Factor,1.4442301964480941
Expectancy,10.154686472716858
Sharpe Ratio,1.7773526420819503
Calmar Ratio,3.1358955204098145
Omega Ratio,1.3362637438680014
Sortino Ratio,2.3777503174231467
