code,breakout_date,bottom_date,neckline_price,bottom_price,confidence_score,duration,left_days,right_days,symmetry_ratio,vol_ratio,r_squared,last_price,market_cap
002902.SZ,20260319,20260204,23.79,20.83,0.897,54,27,27,1.09,3.54,0.789,27.45,48.760051526999995
605296.SH,20260319,20260211,29.45,28.03,0.763,50,25,25,0.82,2.06,0.051,28.73,148.8169232914
002693.SZ,20260318,20260304,7.98,7.1,0.75,28,14,14,0.86,2.75,0.0,7.96,32.714135041599995
600285.SH,20260320,20260304,22.42,21.21,0.65,24,12,12,0.77,1.97,0.0,22.49,127.2631478014
002705.SZ,20260327,20260316,14.87,13.72,0.475,64,32,12,0.62,4.6,0.0,15.01,121.29632034
603520.SH,20260401,20260316,11.02,9.95,0.386,56,28,12,0.72,2.62,0.0,10.86,47.6113130766
