,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,911757.9608980815
Total Return [%],-8.824203910191843
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000088
Total Fees Paid,0.0
Max Drawdown [%],18.430955182769416
Max Drawdown Duration,258 days 00:00:00
Total Trades,40604
Total Closed Trades,40344
Total Open Trades,260
Open Trade PnL,-39189.7226563416
Win Rate [%],49.88845925044617
Best Trade [%],205.59899840711697
Worst Trade [%],-34.42526728863295
Avg Winning Trade [%],7.578178772471375
Avg Losing Trade [%],-6.198479711538637
Avg Winning Trade Duration,9 days 21:23:14.604262930
Avg Losing Trade Duration,14 days 05:46:20.452920143
Profit Factor,0.9393657015678678
Expectancy,-1.296514523484717
Sharpe Ratio,-0.23352739783010087
Calmar Ratio,-0.4864027752605709
Omega Ratio,0.9648827304003555
Sortino Ratio,-0.2957221110378139
