,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,936461.4472233838
Total Return [%],-6.353855277661621
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000087
Total Fees Paid,0.0
Max Drawdown [%],15.889131859899408
Max Drawdown Duration,58 days 00:00:00
Total Trades,14122
Total Closed Trades,13862
Total Open Trades,260
Open Trade PnL,23131.797396210764
Win Rate [%],59.104025393161166
Best Trade [%],179.9449265334523
Worst Trade [%],-33.7485272794303
Avg Winning Trade [%],13.268490420017736
Avg Losing Trade [%],-7.1742476992612
Avg Winning Trade Duration,31 days 17:13:06.964481875
Avg Losing Trade Duration,34 days 01:53:51.912258977
Profit Factor,0.652522465184231
Expectancy,-6.303298070195835
Sharpe Ratio,-0.33736247130346
Calmar Ratio,-0.40634970397018993
Omega Ratio,0.9227743979633488
Sortino Ratio,-0.4429438492029059
