,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1396126.5117081734
Total Return [%],39.612651170817344
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000213
Total Fees Paid,0.0
Max Drawdown [%],13.546030696173004
Max Drawdown Duration,60 days 00:00:00
Total Trades,47972
Total Closed Trades,47712
Total Open Trades,260
Open Trade PnL,-13967.706989690385
Win Rate [%],62.30508048289738
Best Trade [%],231.58422951549818
Worst Trade [%],-27.214497556378568
Avg Winning Trade [%],3.9661151523210516
Avg Losing Trade [%],-2.91939515209326
Avg Winning Trade Duration,4 days 09:38:52.061762034
Avg Losing Trade Duration,5 days 16:31:12.350048052
Profit Factor,1.344992100846348
Expectancy,8.178297489466424
Sharpe Ratio,1.6137179260098828
Calmar Ratio,2.9819415855800213
Omega Ratio,1.2688485111415568
Sortino Ratio,2.1477290060581162
