,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1193289.9445599774
Total Return [%],19.328994455997748
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000054
Total Fees Paid,0.0
Max Drawdown [%],20.803219446301643
Max Drawdown Duration,139 days 00:00:00
Total Trades,48681
Total Closed Trades,48421
Total Open Trades,260
Open Trade PnL,1612.3886619029468
Win Rate [%],69.06094463146155
Best Trade [%],164.14614440324564
Worst Trade [%],-30.81124299263891
Avg Winning Trade [%],7.199698317984267
Avg Losing Trade [%],-3.2992796217034286
Avg Winning Trade Duration,5 days 10:46:26.985645933
Avg Losing Trade Duration,4 days 18:29:13.721244925
Profit Factor,1.1354569179704113
Expectancy,3.561134997472486
Sharpe Ratio,0.8657508056398444
Calmar Ratio,0.946100985495291
Omega Ratio,1.1372906896409702
Sortino Ratio,1.1254760459288504
