,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1009796.4928453977
Total Return [%],0.979649284539768
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000015
Total Fees Paid,0.0
Max Drawdown [%],15.521231235137577
Max Drawdown Duration,158 days 00:00:00
Total Trades,28521
Total Closed Trades,28261
Total Open Trades,260
Open Trade PnL,24429.931680963666
Win Rate [%],67.99830154630055
Best Trade [%],180.8829616128499
Worst Trade [%],-29.895092123334916
Avg Winning Trade [%],13.977609367628702
Avg Losing Trade [%],-5.627315847653621
Avg Winning Trade Duration,35 days 03:53:20.603632201
Avg Losing Trade Duration,30 days 04:33:48.371628371
Profit Factor,0.9690832247746212
Expectancy,-0.5828625195062322
Sharpe Ratio,0.14955541255380622
Calmar Ratio,0.06417683730415277
Omega Ratio,1.0253259386623588
Sortino Ratio,0.19901787947530292
