code,name,hist30,hl,vol_score,hl_score_original,hl_score,total
561700.SH,电力ETF博时,15.87,0.26,55.48,74,94.84,76.89
159643.SZ,疫苗ETF,28.11,0.1934,86.55,55,22.19,76.83
516090.SH,新能源ETF易方达,27.86,0.1932,86.49,55,22.19,76.76
560170.SH,央企科技ETF南方,33.59,0.1943,86.42,55,22.19,76.7
588380.SH,双创50ETF,23.57,0.2145,72.0,61,55.68,76.63
588830.SH,科创新能源ETF,45.69,0.1918,88.45,54,17.3,76.57
513030.SH,德国ETF,22.16,0.2267,65.6,64,70.5,76.5
508097.SH,华泰南京建邺REIT,21.66,0.1991,83.55,56,28.59,76.44
165525.SZ,基建工程LOF,18.47,0.2415,58.88,69,86.03,76.37
159819.SZ,人工智能ETF易方达,29.82,0.1994,83.49,56,28.59,76.24
511660.SH,货币ETF建信,0.19,0.3409,53.13,97,99.41,76.24
510630.SH,消费ETF华夏,21.84,0.2424,58.75,69,86.03,76.17
168701.SZ,金融科技LOF,27.3,0.1984,83.29,56,28.59,76.11
159856.SZ,互联网龙头ETF工银,29.91,0.1929,85.97,55,22.19,76.04
515290.SH,银行ETF天弘,14.28,0.2118,73.96,60,50.07,75.98
159573.SZ,创业板200ETF华夏,31.61,0.2098,76.24,59,44.71,75.91
162719.SZ,石油LOF,75.78,0.1997,80.48,57,34.66,75.85
588330.SH,双创龙头ETF,22.99,0.2151,71.34,61,55.68,75.78
562560.SH,信息技术ETF,27.56,0.2071,75.98,59,44.71,75.72
588160.SH,科创新材料ETF南方,33.05,0.2056,78.0,58,39.75,75.65
563050.SH,央企科技ETF易方达,32.99,0.1953,85.51,55,22.19,75.59
512120.SH,医药50ETF,16.03,0.2288,63.05,65,74.54,75.52
159792.SZ,港股通互联网ETF,32.15,0.1931,85.44,55,22.19,75.46
501225.SH,全球芯片LOF,51.29,0.1669,93.08,47,4.05,75.39
159861.SZ,碳中和50ETF国泰,29.35,0.1899,87.27,54,17.3,75.26
512800.SH,银行ETF,13.41,0.2161,70.82,61,55.68,75.26
513770.SH,港股互联网ETF,30.91,0.1926,85.12,55,22.19,75.2
159780.SZ,科创创业50ETF南方,24.22,0.2121,73.04,60,50.07,75.13
166011.SZ,中欧盛世LOF,30.36,0.2021,79.63,57,34.66,75.07
517090.SH,央企共赢ETF国泰,21.08,0.2546,54.83,72,92.49,75.0
562860.SH,疫苗ETF嘉实,22.53,0.2063,77.42,58,39.75,74.93
516330.SH,物联网ETF,36.66,0.1923,86.95,54,17.3,74.87
180602.SZ,中金印力消费REIT,13.76,0.231,62.4,65,74.54,74.8
159520.SZ,消费龙头ETF工银,16.51,0.2466,56.27,70,88.77,74.74
588350.SH,双创50ETF基金,23.83,0.2117,72.85,60,50.07,74.67
588820.SH,科创200ETF华夏,31.82,0.197,82.05,56,28.59,74.61
159507.SZ,通信ETF广发,34.94,0.1791,90.54,51,8.75,74.54
516580.SH,新能源ETF博时,29.12,0.1896,86.81,54,17.3,74.48
511970.SH,国寿货币ETF,0.32,0.2974,52.09,84,98.11,74.41
159672.SZ,消费ETF博时,22.02,0.2437,57.25,69,86.03,74.35
159572.SZ,创业板200ETF易方达,29.58,0.2108,72.58,60,50.07,74.28
159695.SZ,通信ETF嘉实,34.77,0.183,89.3,52,10.9,74.22
159779.SZ,消费电子50ETF,27.72,0.2016,79.05,57,34.66,74.15
159603.SZ,双创龙头ETF,24.24,0.2112,72.26,60,50.07,74.09
515880.SH,通信ETF,37.43,0.1879,87.53,53,13.97,74.02
516160.SH,新能源ETF,28.63,0.1923,86.03,54,17.3,73.89
159885.SZ,碳中和ETF鹏华,24.92,0.2026,78.59,57,34.66,73.89
508017.SH,华夏金茂商业REIT,14.69,0.2234,65.34,63,65.47,73.83
159811.SZ,5GETF博时,32.04,0.1899,85.9,54,17.3,73.76
159827.SZ,农业ETF银华,20.22,0.2486,54.11,71,91.06,73.69
512220.SH,TMTETF,31.25,0.1883,87.14,53,13.97,73.63
161124.SZ,港股小盘LOF,30.15,0.2177,66.84,62,60.7,73.56
159645.SZ,疫苗ETF富国,28.4,0.2022,77.94,57,34.66,73.5
162411.SZ,华宝油气LOF,69.13,0.198,80.48,56,28.59,73.43
169101.SZ,东方红睿丰LOF,35.62,0.1748,90.14,49,5.94,73.37
159543.SZ,国证2000ETF工银,29.62,0.2119,71.21,60,50.07,73.3
501070.SH,广发睿阳,16.21,0.2411,56.85,68,83.55,73.24
513040.SH,港股通互联网ETF易方达,31.49,0.1896,85.18,54,17.3,73.11
160222.SZ,食品LOF,21.56,0.2388,56.79,68,83.55,73.11
516080.SH,创新药ETF易方达,18.1,0.2265,62.34,64,70.5,73.04
162703.SZ,广发小盘LOF,27.57,0.2004,77.68,57,34.66,72.98
159905.SZ,红利ETF工银,18.91,0.2502,53.39,71,91.06,72.91
165309.SZ,沪深300LOF建信,26.96,0.2046,75.26,58,39.75,72.85
159997.SZ,电子ETF,27.69,0.1934,82.57,55,22.19,72.78
511850.SH,招商财富宝ETF,0.17,0.3379,49.41,96,99.22,72.72
513080.SH,法国CAC40ETF,26.41,0.2371,57.38,67,80.55,72.65
508078.SH,中航易商仓储物流REIT,12.44,0.2313,58.16,66,78.39,72.58
501099.SH,平安新兴产业LOF,30.59,0.1899,84.33,54,17.3,72.52
501200.SH,科创加银LOF,21.07,0.2303,59.79,65,74.54,72.45
562900.SH,农业ETF易方达,18.66,0.2708,50.33,77,96.54,72.39
561960.SH,央企回报ETF招商,22.71,0.2368,56.92,67,80.55,72.32
510100.SH,上证50ETF易方达,13.16,0.2393,55.61,68,83.55,72.26
588230.SH,科创200ETF,32.41,0.1982,79.11,56,28.59,72.19
513330.SH,恒生互联网ETF,25.0,0.2161,67.49,61,55.68,72.13
166401.SZ,稳健增利LOF,28.18,0.2247,61.03,64,70.5,72.06
159568.SZ,港股互联网ETF博时,31.45,0.1857,85.25,53,13.97,72.0
513520.SH,日经ETF,26.59,0.2041,74.15,58,39.75,71.93
515990.SH,一带一路ETF汇添富,21.4,0.2443,54.31,69,86.03,71.87
588300.SH,科创创业50ETF招商,23.15,0.2135,67.17,61,55.68,71.8
161903.SZ,万家行业优选LOF,27.97,0.1919,83.62,54,17.3,71.74
161631.SZ,人工智能LOF,26.04,0.2048,73.89,58,39.75,71.67
588310.SH,双创ETF基金,21.52,0.2181,64.75,62,60.7,71.61
517110.SH,创新药ETF国泰,21.73,0.2165,66.84,61,55.68,71.54
159865.SZ,养殖ETF,17.98,0.2696,49.15,77,96.54,71.41
510380.SH,沪深300ETF国寿,15.59,0.2259,60.31,64,70.5,71.41
512700.SH,银行ETF南方,13.5,0.2131,68.99,60,50.07,71.34
180303.SZ,华泰宝湾物流REIT,16.14,0.211,68.86,60,50.07,71.28
510160.SH,产业升级ETF南方,20.35,0.2553,50.52,72,92.49,71.21
159783.SZ,科创创业50ETF,24.38,0.2109,68.67,60,50.07,71.15
512820.SH,银行ETF汇添富,13.02,0.214,66.25,61,55.68,71.08
588390.SH,科创创业ETF博时,22.81,0.2147,66.19,61,55.68,71.02
515260.SH,电子ETF,27.83,0.1908,82.64,54,17.3,70.95
513350.SH,标普油气ETF,60.11,0.1933,80.48,55,22.19,70.89
516910.SH,物流ETF富国,19.43,0.264,49.09,75,95.43,70.82
159508.SZ,生物医药ETF基金,20.41,0.2004,75.0,57,34.66,70.76
159689.SZ,消费ETF南方,22.41,0.2276,57.7,65,74.54,70.69
160220.SZ,国泰民益LOF,31.08,0.1843,84.92,52,10.9,70.63
588870.SH,科创50ETF汇添富,25.77,0.2008,74.74,57,34.66,70.56
160311.SZ,华夏蓝筹LOF,20.29,0.2131,67.95,60,50.07,70.5
180101.SZ,博时蛇口产园REIT,12.93,0.2011,74.54,57,34.66,70.43
167001.SZ,鼎泰LOF,20.12,0.2259,59.14,64,70.5,70.37
163503.SZ,天治核心LOF,11.55,0.2527,49.67,72,92.49,70.3
159887.SZ,银行ETF,13.25,0.2119,67.82,60,50.07,70.23
515320.SH,电子50ETF,25.69,0.1939,79.5,55,22.19,70.17
513000.SH,日经225ETF易方达,25.29,0.2056,71.93,58,39.75,70.1
517120.SH,创新药ETF华泰柏瑞,20.82,0.2158,65.08,61,55.68,70.04
516760.SH,养殖ETF,17.58,0.2692,47.65,76,96.08,69.97
516020.SH,化工ETF,32.67,0.1983,76.57,56,28.59,69.91
159363.SZ,创业板人工智能ETF华宝,45.47,0.1623,87.34,46,3.2,69.84
159622.SZ,创新药ETF东财,22.21,0.2048,71.61,58,39.75,69.78
512730.SH,银行ETF鹏华,13.05,0.2099,69.39,59,44.71,69.71
562950.SH,消费电子ETF易方达,27.28,0.1931,78.98,55,22.19,69.65
562880.SH,电池ETF嘉实,24.56,0.2,73.63,57,34.66,69.58
561310.SH,消电ETF国泰,24.57,0.1988,76.17,56,28.59,69.52
169104.SZ,东方红睿满LOF,22.39,0.2087,69.26,59,44.71,69.45
159320.SZ,电网设备ETF广发,35.74,0.1619,86.88,46,3.2,69.39
159318.SZ,恒指港股通ETF银华,17.92,0.2412,52.28,68,83.55,69.26
560590.SH,中证1000增强ETF鹏华,26.14,0.2154,64.23,61,55.68,69.26
165508.SZ,中信保诚深度LOF,17.31,0.239,52.22,68,83.55,69.19
518860.SH,上海金ETF建信,52.12,0.1906,80.48,54,17.3,69.06
159812.SZ,黄金ETF前海开源,53.7,0.1893,80.48,54,17.3,69.06
501046.SH,财通福鑫定开混合,33.58,0.1777,84.79,50,7.11,68.99
180401.SZ,鹏华深圳能源REIT,9.88,0.2101,66.32,60,50.07,68.93
516850.SH,新能源ETF华夏,28.52,0.191,80.29,54,17.3,68.86
159867.SZ,畜牧ETF,17.27,0.2669,46.48,76,96.08,68.8
516710.SH,新材料ETF华夏,27.19,0.175,84.99,49,5.94,68.73
588320.SH,双创50ETF增强,22.75,0.2092,68.28,59,44.71,68.6
515020.SH,银行ETF华夏,13.15,0.207,68.28,59,44.71,68.6
560180.SH,沪深300ESGETF南方,24.91,0.2221,59.33,63,65.47,68.54
161725.SZ,白酒基金LOF,34.6,0.1911,79.96,54,17.3,68.47
162006.SZ,长城久富LOF,23.53,0.2078,68.21,59,44.71,68.41
588360.SH,科创创业ETF国泰,22.7,0.2125,65.86,60,50.07,68.34
159757.SZ,电池ETF景顺,23.36,0.2028,72.39,57,34.66,68.28
508010.SH,中金重庆两江REIT,22.39,0.1776,84.14,50,7.11,68.21
164824.SZ,印度基金LOF,18.17,0.2117,65.34,60,50.07,68.15
162105.SZ,金鹰持久增利LOF,41.11,0.2097,67.62,59,44.71,68.08
516220.SH,化工ETF国泰,32.47,0.1935,77.22,55,22.19,68.02
562520.SH,中证1000成长ETF,24.83,0.2161,62.86,61,55.68,67.95
561580.SH,央企红利ETF华泰柏瑞,18.71,0.239,50.85,68,83.55,67.89
159994.SZ,通信ETF银华,31.68,0.1762,83.42,50,7.11,67.49
518600.SH,上海金ETF,52.31,0.1885,80.48,53,13.97,67.49
516800.SH,智能制造ETF,28.88,0.1943,76.96,55,22.19,67.49
159575.SZ,创业板200ETF银华,28.9,0.21,65.01,60,50.07,67.49
518800.SH,黄金ETF国泰,52.54,0.1859,80.48,53,13.97,67.49
159830.SZ,上海金ETF,53.29,0.1862,80.48,53,13.97,67.49
510150.SH,消费ETF,15.47,0.2366,51.76,67,80.55,67.43
159688.SZ,恒生互联网ETF,23.86,0.2162,62.21,61,55.68,67.36
159708.SZ,红利ETF西部利得,17.4,0.2535,46.28,72,92.49,67.3
159796.SZ,电池ETF汇添富,24.93,0.1961,73.56,56,28.59,67.23
516600.SH,消费服务ETF工银,15.11,0.2483,47.72,70,88.77,67.17
160212.SZ,国泰估值LOF,29.74,0.1608,84.66,45,2.55,67.1
508002.SH,华安百联消费REIT,22.19,0.1713,83.75,48,4.63,67.04
516060.SH,创新药ETF工银,17.2,0.2283,53.79,65,74.54,66.97
588400.SH,科创创业ETF嘉实,22.3,0.2087,66.51,59,44.71,66.91
513880.SH,日经225ETF,25.18,0.2068,66.45,59,44.71,66.84
159939.SZ,信息技术ETF,28.0,0.1901,78.2,54,17.3,66.78
515050.SH,通信ETF华夏,31.48,0.1742,82.96,49,5.94,66.71
516530.SH,物流ETF银华,17.95,0.2545,45.82,72,92.49,66.64
160625.SZ,证保LOF,19.7,0.2282,53.46,65,74.54,66.58
165313.SZ,建信优势LOF,28.69,0.1574,84.53,44,1.96,66.51
159840.SZ,锂电池ETF工银,23.2,0.2025,70.5,57,34.66,66.45
561160.SH,电池ETF富国,24.62,0.1967,72.98,56,28.59,66.38
510190.SH,上证50ETF华安,13.21,0.2526,45.56,72,92.49,66.32
159518.SZ,标普油气ETF嘉实,57.03,0.1825,80.48,52,10.9,65.8
159937.SZ,黄金ETF博时,53.34,0.1826,80.48,52,10.9,65.8
518890.SH,中银上海金ETF,52.39,0.1848,80.48,52,10.9,65.8
518660.SH,黄金ETF工银,52.98,0.185,80.48,52,10.9,65.8
159831.SZ,金ETF嘉实,53.55,0.1855,80.48,52,10.9,65.8
518850.SH,黄金ETF华夏,51.45,0.1821,80.48,52,10.9,65.8
159934.SZ,黄金ETF易方达,53.33,0.1845,80.48,52,10.9,65.8
518880.SH,黄金ETF,53.01,0.1831,80.48,52,10.9,65.8
159967.SZ,创业板成长ETF,26.74,0.2247,54.9,64,70.5,65.73
159870.SZ,化工ETF,32.97,0.1917,77.55,54,17.3,65.67
159732.SZ,消费电子ETF,26.89,0.1957,75.33,55,22.19,65.6
159767.SZ,电池龙头ETF,22.02,0.2052,67.69,58,39.75,65.54
159781.SZ,科创创业ETF易方达,24.41,0.2129,63.19,60,50.07,65.47
159505.SZ,国证2000ETF博时,32.65,0.1953,75.13,55,22.19,65.4
510560.SH,中证500ETF国寿,25.88,0.1965,72.26,56,28.59,65.34
510770.SH,G60创新ETF申万菱信,25.21,0.2088,65.27,59,44.71,65.21
159559.SZ,机器人50ETF,26.98,0.1821,79.77,52,10.9,65.21
159332.SZ,央企红利ETF富国,18.56,0.236,49.8,67,80.55,65.14
159959.SZ,央企ETF银华,15.06,0.2311,50.65,66,78.39,65.08
159834.SZ,金ETF南方,53.34,0.1817,80.48,51,8.75,64.95
518680.SH,金ETF,52.61,0.182,80.48,51,8.75,64.95
161025.SZ,互联网LOF,24.35,0.1955,74.67,55,22.19,64.88
501012.SH,中药基金LOFC,11.56,0.2383,48.37,68,83.55,64.82
163801.SZ,中银中国LOF,14.98,0.2403,48.3,68,83.55,64.75
501080.SH,科创主题投资基金LOF,29.93,0.1816,80.16,51,8.75,64.69
501205.SH,鹏华创新未来LOF,26.81,0.1917,76.24,54,17.3,64.62
159755.SZ,电池ETF,22.91,0.2027,68.6,57,34.66,64.56
159666.SZ,交通运输ETF,15.55,0.2717,41.97,77,96.54,64.49
516210.SH,银行ETF指数基金,12.87,0.2187,57.31,62,60.7,64.43
560110.SH,中证1000ETF汇添富,24.4,0.2084,64.03,59,44.71,64.36
561920.SH,疫苗ETF招商,22.86,0.2178,57.18,62,60.7,64.3
561320.SH,交运ETF,16.21,0.2716,41.78,77,96.54,64.23
159662.SZ,交运ETF南方,15.72,0.27,41.71,77,96.54,64.16
159530.SZ,机器人ETF易方达,27.2,0.181,79.31,51,8.75,64.1
501301.SH,香港大盘LOF,21.1,0.2374,48.43,67,80.55,64.03
161914.SZ,创业板2年定开,28.92,0.1995,70.69,56,28.59,63.97
516310.SH,银行ETF易方达,13.78,0.2077,63.77,59,44.71,63.9
561910.SH,电池ETF,24.68,0.1959,73.37,55,22.19,63.84
513280.SH,恒生生物科技ETF汇添富,27.04,0.1882,76.76,53,13.97,63.77
516670.SH,畜牧养殖ETF,16.7,0.2677,41.51,76,96.08,63.71
513750.SH,港股通非银ETF,26.29,0.1883,76.57,53,13.97,63.64
512100.SH,中证1000ETF,24.65,0.209,63.38,59,44.71,63.58
510270.SH,国企ETF,18.15,0.2472,44.45,70,88.77,63.51
159858.SZ,创新药ETF南方,17.01,0.2244,52.28,64,70.5,63.45
162607.SZ,景顺资源LOF,21.52,0.2133,61.03,60,50.07,63.38
159379.SZ,A500ETF融通,33.66,0.1889,76.37,53,13.97,63.32
530000.SH,上证50ETF天弘,15.96,0.2473,44.19,70,88.77,63.25
516120.SH,化工50ETF,32.4,0.1887,76.11,53,13.97,63.19
159835.SZ,创新药ETF建信,18.3,0.2275,50.13,65,74.54,63.12
510230.SH,金融ETF,14.32,0.2253,51.76,64,70.5,63.05
513780.SH,港股创新药50ETF,26.22,0.1967,69.71,56,28.59,62.99
159807.SZ,科技ETF易方达,23.21,0.2042,64.88,58,39.75,62.92
159557.SZ,恒生医疗ETF嘉实,25.45,0.1904,74.48,54,17.3,62.86
159667.SZ,工业母机ETF,29.92,0.1866,75.85,53,13.97,62.79
159669.SZ,绿色电力ETF国泰,14.05,0.2411,45.89,68,83.55,62.73
159629.SZ,1000ETF,24.96,0.2053,64.62,58,39.75,62.66
516610.SH,医疗设备ETF大成,20.57,0.202,66.71,57,34.66,62.6
513860.SH,港股通科技ETF海富通,23.43,0.2105,59.99,60,50.07,62.53
159760.SZ,医疗健康ETF泰康,16.15,0.2151,57.51,61,55.68,62.47
560000.SH,智能电车ETF浦银,16.7,0.2335,47.72,66,78.39,62.4
501091.SH,嘉实欣荣LOF,24.48,0.2061,64.16,58,39.75,62.34
513580.SH,恒生科技ETF指数,21.89,0.233,47.52,66,78.39,62.21
513220.SH,中概互联ETF,22.57,0.2115,59.66,60,50.07,62.21
159743.SZ,湖北ETF博时,25.02,0.2093,61.88,59,44.71,62.14
516890.SH,新材料ETF指数基金,24.35,0.173,78.46,49,5.94,62.08
512260.SH,中证500低波动ETF,20.27,0.2245,50.78,64,70.5,62.01
508056.SH,中金普洛斯REIT,11.19,0.1942,71.48,55,22.19,61.95
515600.SH,央企创新ETF,18.87,0.2283,49.02,65,74.54,61.88
562300.SH,碳中和ETF银华,21.54,0.194,71.41,55,22.19,61.81
166008.SZ,中欧强债LOF,29.05,0.2649,40.01,75,95.43,61.75
560900.SH,创新药ETF摩根,17.73,0.2225,52.74,63,65.47,61.62
513010.SH,恒生科技ETF易方达,22.91,0.2229,52.74,63,65.47,61.62
508009.SH,中金安徽交控REIT,11.8,0.1969,68.47,56,28.59,61.55
560010.SH,中证1000ETF广发,24.46,0.2055,63.64,58,39.75,61.49
515900.SH,央企创新ETF博时,18.59,0.2286,48.63,65,74.54,61.42
510950.SH,上证50ETF广发,14.83,0.2529,40.86,72,92.49,61.36
510720.SH,红利国企ETF国泰,21.36,0.2023,65.54,57,34.66,61.29
159005.SZ,汇添富快钱ETF,0.02,0.3432,37.6,98,99.8,61.23
159761.SZ,新材料ETF国泰,27.29,0.1823,75.52,52,10.9,61.16
561060.SH,国企红利ETF,16.61,0.2424,43.28,69,86.03,61.1
510660.SH,医药ETF华夏,15.68,0.2075,60.97,59,44.71,61.03
513180.SH,恒生科技指数ETF,22.66,0.2197,54.05,62,60.7,60.97
159788.SZ,港股通100ETF易方达,18.74,0.2375,45.5,67,80.55,60.9
516390.SH,新能源车ETF汇添富,22.35,0.1928,70.5,55,22.19,60.84
167002.SZ,鼎越LOF,29.96,0.1761,76.89,50,7.11,60.77
159615.SZ,恒生生物科技ETF南方,26.13,0.1857,73.96,53,13.97,60.7
159782.SZ,双创50ETF,22.87,0.2124,58.42,60,50.07,60.64
561500.SH,漂亮50ETF,16.83,0.2178,53.85,62,60.7,60.57
513560.SH,香港科技ETF,23.86,0.2167,55.94,61,55.68,60.51
159845.SZ,中证1000ETF,23.5,0.2071,60.64,59,44.71,60.44
561780.SH,1000增强ETF博时,27.26,0.2003,64.82,57,34.66,60.38
159777.SZ,创科技ETF,29.23,0.1979,67.36,56,28.59,60.31
512010.SH,医药ETF易方达,16.17,0.2032,62.53,58,39.75,60.25
159506.SZ,港股通医疗ETF富国,27.59,0.1847,74.8,52,10.9,60.18
563180.SH,高股息ETF,15.93,0.2393,43.67,68,83.55,60.12
160610.SZ,鹏华动力LOF,18.67,0.1983,67.04,56,28.59,60.05
520900.SH,港股通红利ETF广发,23.28,0.2066,60.12,59,44.71,59.99
180801.SZ,中航首钢绿能REIT,7.55,0.2288,47.32,65,74.54,59.92
510500.SH,中证500ETF,26.36,0.1964,66.97,56,28.59,59.86
162207.SZ,宏利效率混合LOF,19.65,0.2125,57.7,60,50.07,59.79
517160.SH,长江保护ETF南方,26.57,0.1997,64.3,57,34.66,59.73
502048.SH,上证50LOF,12.15,0.2434,42.23,69,86.03,59.66
588860.SH,科创医药ETF工银,18.0,0.2131,57.51,60,50.07,59.6
163116.SZ,申万电子LOF,25.74,0.2076,59.79,59,44.71,59.46
159859.SZ,生物医药ETF,19.11,0.1999,64.1,57,34.66,59.46
513980.SH,港股科技50ETF,24.08,0.2067,59.53,59,44.71,59.4
515000.SH,科技ETF,24.6,0.1907,71.28,54,17.3,59.33
530880.SH,红利国企ETF银河,21.48,0.2032,61.49,58,39.75,59.27
501030.SH,环境治理LOF,20.94,0.2189,52.48,62,60.7,59.2
159637.SZ,新能源车ETF东财,22.06,0.1918,71.02,54,17.3,59.14
515200.SH,创新100ETF申万菱信,21.77,0.2293,46.48,65,74.54,59.01
160611.SZ,鹏华优质治理LOF,23.04,0.1696,76.44,48,4.63,59.01
520990.SH,港股央企红利50ETF,23.68,0.2049,61.29,58,39.75,58.94
513890.SH,恒生科技ETF摩根,22.18,0.2215,50.26,63,65.47,58.88
159691.SZ,港股红利ETF工银,23.21,0.2072,59.14,59,44.71,58.81
159750.SZ,港股科技50ETF招商,22.64,0.2156,54.37,61,55.68,58.75
159625.SZ,绿色电力ETF嘉实,14.68,0.2423,41.32,69,86.03,58.68
513130.SH,恒生科技ETF,22.56,0.2157,54.24,61,55.68,58.62
508006.SH,富国首创水务REIT,4.49,0.257,37.86,73,93.86,58.55
513380.SH,恒生科技ETF广发,22.13,0.2205,50.0,63,65.47,58.49
516050.SH,科技龙头ETF工银,23.95,0.1959,68.54,55,22.19,58.42
159839.SZ,生物医药ETF汇添富,20.81,0.1986,65.8,56,28.59,58.36
506003.SH,富国科创板,20.26,0.2282,46.02,65,74.54,58.29
510020.SH,超大盘ETF博时,11.58,0.2472,39.75,70,88.77,58.22
159620.SZ,中证500成长ETF华夏,21.37,0.2182,51.76,62,60.7,58.16
159633.SZ,中证1000ETF易方达,23.21,0.2032,60.57,58,39.75,58.09
513700.SH,港股通医药ETF鹏华,25.26,0.1817,73.83,51,8.75,58.03
159806.SZ,新能源车ETF,22.69,0.1896,70.04,54,17.3,57.96
159747.SZ,香港科技ETF南方,23.22,0.2161,53.59,61,55.68,57.9
560650.SH,核心50ETF民生加银,20.55,0.2181,51.44,62,60.7,57.83
159892.SZ,恒生医药ETF,26.41,0.1797,73.69,51,8.75,57.77
159515.SZ,国企红利ETF,16.76,0.2351,42.89,67,80.55,57.7
516560.SH,养老ETF,14.37,0.2444,40.54,69,86.03,57.64
516070.SH,低碳ETF易方达,22.34,0.2091,58.22,59,44.71,57.57
512950.SH,央企改革ETF华夏,15.61,0.2372,42.82,67,80.55,57.51
180701.SZ,银华绍兴原水水利REIT,12.17,0.2101,55.87,60,50.07,57.44
160626.SZ,信息LOF,22.75,0.1801,73.5,51,8.75,57.38
159628.SZ,国证2000ETF万家,23.63,0.2051,60.18,58,39.75,57.25
159786.SZ,VRETF,26.04,0.2044,60.18,58,39.75,57.25
161010.SZ,富国天丰LOF,10.48,0.208,58.03,59,44.71,57.18
159589.SZ,红利ETF广发,17.56,0.2288,45.23,65,74.54,57.11
508026.SH,嘉实中国电建清洁能源REIT,9.4,0.2541,37.53,72,92.49,57.05
160314.SZ,华夏行业LOF,18.24,0.211,55.68,60,50.07,56.98
562320.SH,沪深300价值ETF银华,14.54,0.2481,39.03,70,88.77,56.92
513200.SH,港股通医药ETF易方达,25.44,0.1798,73.3,51,8.75,56.85
520700.SH,港股通创新药ETF万家,26.51,0.1873,70.89,53,13.97,56.79
520660.SH,港股通央企红利ETF南方,24.08,0.2004,62.01,57,34.66,56.72
159570.SZ,港股通创新药ETF,26.79,0.188,70.76,53,13.97,56.66
159896.SZ,物联网ETF南方,26.9,0.1923,69.32,54,17.3,56.59
510550.SH,方正中证500ETF,22.97,0.2076,57.44,59,44.71,56.53
159663.SZ,机床ETF,29.25,0.1849,71.87,52,10.9,56.46
159001.SZ,货币ETF易方达,0.01,0.3496,33.68,99,99.93,56.4
515120.SH,创新药ETF,16.64,0.2259,46.28,64,70.5,56.33
511930.SH,货币ETF国联,0.64,0.31,34.2,88,98.56,56.27
159748.SZ,创新药ETF富国,20.74,0.2062,59.4,58,39.75,56.2
513320.SH,港股通新经济ETF易方达,23.83,0.2133,54.96,60,50.07,56.14
163118.SZ,医药生物LOF,14.73,0.2145,52.55,61,55.68,56.07
560620.SH,公用事业ETF万家,13.57,0.252,36.75,72,92.49,56.01
159571.SZ,创业板200ETF富国,27.21,0.2029,61.42,57,34.66,55.94
561350.SH,中证500ETF国泰,26.03,0.1951,66.64,55,22.19,55.87
512500.SH,中证500ETF华夏,25.18,0.1975,63.9,56,28.59,55.81
515080.SH,中证红利ETF,16.72,0.2214,47.98,63,65.47,55.74
512960.SH,央企结构调整ETF博时,16.4,0.2422,39.1,69,86.03,55.68
510800.SH,上证50ETF建信,12.91,0.2409,39.88,68,83.55,55.55
510590.SH,中证500ETF平安,25.23,0.2002,60.84,57,34.66,55.55
510510.SH,中证500ETF广发,23.03,0.2,60.77,57,34.66,55.48
160805.SZ,长盛同智LOF,18.6,0.2389,39.75,68,83.55,55.42
562010.SH,绿色能源ETF,23.07,0.2048,58.49,58,39.75,55.35
159741.SZ,恒生科技ETF嘉实,22.42,0.2167,51.63,61,55.68,55.29
159776.SZ,港股医药ETF银华,23.93,0.1873,69.45,53,13.97,55.22
159824.SZ,新能源车ETF博时,22.69,0.191,68.02,54,17.3,55.16
501311.SH,港股通新经济LOF,21.2,0.2271,45.1,64,70.5,55.09
515590.SH,500等权ETF,31.69,0.1852,70.63,52,10.9,55.03
180103.SZ,华夏和达高科REIT,11.46,0.209,56.14,59,44.71,54.96
512580.SH,环保ETF,23.65,0.2009,60.38,57,34.66,54.9
515180.SH,红利ETF易方达,16.61,0.2233,47.13,63,65.47,54.83
510580.SH,中证500ETF易方达,24.58,0.1952,65.67,55,22.19,54.77
159954.SZ,恒生中国企业ETF南方,19.65,0.2329,41.58,66,78.39,54.7
159735.SZ,港股消费ETF银华,20.94,0.2302,43.15,65,74.54,54.63
513050.SH,中概互联网ETF易方达,24.31,0.1982,62.79,56,28.59,54.57
163110.SZ,申万量化LOF,21.05,0.2149,51.17,61,55.68,54.5
508012.SH,招商科创REIT,16.07,0.1734,72.45,49,5.94,54.44
159873.SZ,医疗设备ETF,20.98,0.2073,55.81,59,44.71,54.37
501047.SH,证券公司LOF,20.18,0.229,43.02,65,74.54,54.31
159718.SZ,港股医药ETF,24.4,0.1803,70.95,51,8.75,54.24
511650.SH,货币ETF华夏,0.19,0.3399,31.98,97,99.41,54.18
511860.SH,货币ETF博时,0.18,0.3443,31.79,98,99.8,54.11
180202.SZ,华夏越秀高速REIT,7.73,0.1892,67.1,54,17.3,54.05
516300.SH,中证1000ETF华泰柏瑞,20.97,0.208,55.22,59,44.71,53.98
560020.SH,红利ETF汇添富,17.34,0.2295,42.43,65,74.54,53.92
159607.SZ,中概互联网ETF嘉实,21.47,0.2106,52.87,60,50.07,53.85
513170.SH,恒生央企ETF,19.48,0.2169,50.46,61,55.68,53.79
510570.SH,中证500ETF兴业,25.92,0.197,62.01,56,28.59,53.72
513120.SH,港股创新药ETF,26.26,0.1833,69.52,52,10.9,53.66
520500.SH,恒生创新药ETF,25.98,0.1806,70.43,51,8.75,53.59
159916.SZ,基本面ETF建信,16.03,0.258,33.94,73,93.86,53.52
