code,name,hist30,hl,vol_score,hl_score_original,hl_score,total
159899.SZ,软件ETF招商,41.92,0.2241,95.43,64,70.5,98.04
516750.SH,建材ETF,32.03,0.249,86.62,71,91.06,97.98
561360.SH,石油ETF,45.45,0.2244,95.3,64,70.5,97.91
159558.SZ,半导体设备ETF易方达,39.62,0.229,93.54,65,74.54,97.85
562510.SH,旅游ETF,25.97,0.2522,85.77,72,92.49,97.78
159766.SZ,旅游ETF,26.43,0.2513,86.36,71,91.06,97.72
160628.SZ,地产LOF,37.53,0.2377,90.6,67,80.55,97.65
512660.SH,军工ETF,45.26,0.2237,96.48,63,65.47,97.58
159327.SZ,半导体设备ETF万家,37.87,0.2308,92.3,65,74.54,97.52
560360.SH,软件ETF万家,42.52,0.2212,96.15,63,65.47,97.45
159586.SZ,计算机ETF南方,42.93,0.2187,97.06,62,60.7,97.39
159930.SZ,能源ETF,38.85,0.225,92.82,64,70.5,97.32
159378.SZ,通用航空ETF,47.51,0.2155,99.15,61,55.68,97.26
515650.SH,消费50ETF,20.51,0.2598,82.31,74,94.84,97.19
159588.SZ,石油天然气ETF,43.18,0.2239,94.71,63,65.47,97.06
161715.SZ,大宗商品LOF,63.08,0.2258,92.56,64,70.5,97.06
159322.SZ,黄金股票ETF基金,69.99,0.2156,98.89,61,55.68,97.0
563150.SH,油气ETF银华,53.81,0.2197,96.61,62,60.7,96.93
168204.SZ,煤炭LOF,45.24,0.2182,96.54,62,60.7,96.87
562590.SH,半导体设备ETF华夏,40.33,0.2236,94.13,63,65.47,96.8
159590.SZ,软件ETF汇添富,42.59,0.217,96.15,62,60.7,96.74
516950.SH,基建ETF银华,22.4,0.2488,82.83,71,91.06,96.67
165513.SZ,中信保诚商品LOF,51.66,0.2312,88.19,66,78.39,96.61
562930.SH,软件ETF易方达,42.18,0.2191,95.56,62,60.7,96.54
159787.SZ,建材ETF易方达,30.79,0.2477,83.36,70,88.77,96.48
512810.SH,军工ETF华宝,40.14,0.2195,95.37,62,60.7,96.41
159707.SZ,地产ETF,34.0,0.225,91.06,64,70.5,96.34
160324.SZ,华夏磐晟LOF,34.44,0.2511,81.98,71,91.06,96.28
159945.SZ,能源ETF广发,42.93,0.2192,94.91,62,60.7,96.21
516190.SH,传媒ETF华夏,47.41,0.2131,99.41,60,50.07,96.15
159616.SZ,农牧ETF建信,24.37,0.244,83.81,69,86.03,96.08
160639.SZ,高铁LOF,27.97,0.2571,80.42,73,93.86,96.02
159619.SZ,基建ETF,21.87,0.2465,82.51,70,88.77,95.95
159309.SZ,油气ETF汇添富,47.82,0.214,96.67,61,55.68,95.89
161810.SZ,银华内需LOF,75.68,0.2126,98.96,60,50.07,95.82
159728.SZ,在线消费ETF南方,44.15,0.2154,96.28,61,55.68,95.76
159768.SZ,房地产ETF银华,32.42,0.2247,89.82,64,70.5,95.63
159613.SZ,信息安全ETF嘉实,36.8,0.2213,91.97,63,65.47,95.63
168203.SZ,钢铁LOF,49.89,0.2149,96.02,61,55.68,95.56
159822.SZ,新经济ETF银华,33.98,0.2277,87.86,65,74.54,95.5
159527.SZ,云计算ETF广发,42.55,0.2166,95.82,61,55.68,95.43
159321.SZ,黄金股票ETF,70.88,0.2127,98.17,60,50.07,95.37
163115.SZ,申万军工LOF,37.27,0.2231,91.32,63,65.47,95.3
161032.SZ,煤炭龙头LOF,39.47,0.238,84.73,67,80.55,95.23
561760.SH,油气ETF博时,53.17,0.213,97.72,60,50.07,95.17
160629.SZ,传媒LOF,44.55,0.2161,95.17,61,55.68,95.1
512980.SH,传媒ETF,50.96,0.2079,99.61,59,44.71,95.04
159805.SZ,传媒ETF,49.41,0.2077,99.54,59,44.71,94.97
562820.SH,集成电路ETF嘉实,38.63,0.2179,92.69,62,60.7,94.91
159697.SZ,石油ETF鹏华,42.34,0.2176,92.62,62,60.7,94.84
516810.SH,农业ETF华夏,21.41,0.2519,79.57,71,91.06,94.78
501201.SH,科创红土LOF,35.95,0.2229,90.47,63,65.47,94.71
160719.SZ,嘉实黄金LOF,54.99,0.2164,94.39,61,55.68,94.65
516550.SH,农业ETF嘉实,19.4,0.2504,79.18,71,91.06,94.58
561570.SH,油气ETF华泰柏瑞,46.45,0.2165,93.99,61,55.68,94.52
517400.SH,黄金股票ETF,71.45,0.2074,98.63,59,44.71,94.45
562350.SH,电力ETF银华,17.99,0.2532,78.07,72,92.49,94.39
159635.SZ,基建ETF华夏,22.15,0.2515,78.66,71,91.06,94.32
588780.SH,科创芯片设计ETF,40.91,0.2165,93.8,61,55.68,94.26
161024.SZ,军工LOF,37.21,0.218,91.64,62,60.7,94.19
159315.SZ,黄金股ETF工银,70.23,0.2097,98.24,59,44.71,94.13
510600.SH,上证50ETF申万菱信,25.57,0.2438,80.35,69,86.03,94.06
159599.SZ,芯片ETF东财,35.15,0.2201,91.12,62,60.7,93.99
159890.SZ,云计算ETF,43.23,0.21,95.5,60,50.07,93.93
159798.SZ,消费ETF易方达,17.42,0.2582,76.7,73,93.86,93.86
160630.SZ,国防LOF,36.54,0.2142,92.95,61,55.68,93.8
588070.SH,科创成长ETF万家,28.83,0.2322,83.16,66,78.39,93.73
516920.SH,芯片ETF汇添富,34.9,0.2203,90.73,62,60.7,93.6
516640.SH,芯片ETF富国,34.78,0.2193,90.73,62,60.7,93.6
588200.SH,科创芯片ETF,35.16,0.2232,88.64,63,65.47,93.54
588290.SH,科创芯片ETF基金,34.93,0.2219,88.51,63,65.47,93.47
508088.SH,国泰海通东久新经济REIT,15.48,0.2621,75.78,74,94.84,93.41
501096.SH,国联安科创LOF,35.08,0.2233,88.32,63,65.47,93.34
562030.SH,信创ETF基金,33.84,0.222,88.25,63,65.47,93.28
161505.SZ,银河通利债券LOF,58.06,0.2401,80.48,68,83.55,93.15
161036.SZ,娱乐增强LOF,43.74,0.2182,90.27,62,60.7,93.15
164701.SZ,黄金LOF,63.06,0.2145,92.36,61,55.68,93.08
161722.SZ,招商丰泰LOF,23.54,0.2902,74.22,82,97.85,93.02
561980.SH,半导体设备ETF,33.79,0.2206,88.05,63,65.47,92.95
516510.SH,云计算ETF易方达,42.17,0.2114,94.58,60,50.07,92.89
560850.SH,信创ETF汇添富,40.1,0.2131,94.52,60,50.07,92.82
502023.SH,钢铁LOF,30.01,0.2275,85.7,64,70.5,92.75
588890.SH,科创芯片ETF南方,34.47,0.2238,87.66,63,65.47,92.69
159546.SZ,集成电路ETF,36.63,0.2156,91.51,61,55.68,92.62
159793.SZ,线上消费ETF基金,40.7,0.2104,93.86,60,50.07,92.56
516700.SH,大数据ETF华宝,46.4,0.2056,98.24,58,39.75,92.49
159582.SZ,半导体ETF博时,33.79,0.2179,89.16,62,60.7,92.43
515110.SH,一带一路ETF易方达,25.67,0.2296,83.03,65,74.54,92.36
562570.SH,信创ETF,39.33,0.2116,93.47,60,50.07,92.3
516130.SH,消费龙头ETF,16.47,0.2589,74.61,73,93.86,92.17
159611.SZ,电力ETF,15.1,0.253,75.2,72,92.49,92.17
516630.SH,云计算ETF华夏,40.92,0.2113,93.34,60,50.07,92.1
159670.SZ,消费50ETF国联安,16.76,0.2603,74.09,74,94.84,92.04
515400.SH,大数据ETF,45.99,0.2044,97.65,58,39.75,91.97
160218.SZ,房地产LOF,35.29,0.24,78.85,68,83.55,91.91
501073.SH,华安智联LOF,31.02,0.2264,84.4,64,70.5,91.84
159562.SZ,黄金股ETF,68.94,0.2065,97.45,58,39.75,91.78
588810.SH,科创芯片ETF富国,34.69,0.2183,88.38,62,60.7,91.71
588260.SH,科创信息ETF,31.11,0.2208,86.23,63,65.47,91.64
516150.SH,稀土ETF嘉实,46.89,0.2027,99.35,57,34.66,91.58
512760.SH,芯片ETF,34.22,0.2162,90.21,61,55.68,91.51
164403.SZ,农业精选LOF,22.52,0.2586,73.76,73,93.86,91.45
161217.SZ,国投资源LOF,65.96,0.2047,96.93,58,39.75,91.38
515220.SH,煤炭ETF,40.68,0.2067,94.78,59,44.71,91.32
516350.SH,芯片ETF易方达,34.16,0.2161,90.01,61,55.68,91.25
517520.SH,黄金股ETF,70.27,0.2041,96.74,58,39.75,91.19
512720.SH,计算机ETF,37.79,0.2122,92.23,60,50.07,91.12
512480.SH,半导体ETF,34.14,0.2146,89.75,61,55.68,91.06
588990.SH,科创芯片ETF博时,35.17,0.2212,85.38,63,65.47,90.99
160221.SZ,有色金属LOF,56.95,0.207,94.26,59,44.71,90.93
159539.SZ,信创ETF广发,31.7,0.2177,87.4,62,60.7,90.86
161129.SZ,原油LOF易方达,70.36,0.2089,94.19,59,44.71,90.8
159739.SZ,云计算ETF鹏华,40.92,0.2094,93.93,59,44.71,90.73
562550.SH,绿电ETF,15.66,0.2452,74.93,70,88.77,90.67
161232.SZ,国投瑞盛LOF,29.51,0.2374,78.39,67,80.55,90.6
588460.SH,科创50增强ETF,26.74,0.2263,82.44,64,70.5,90.54
159310.SZ,芯片ETF天弘,33.82,0.2131,91.19,60,50.07,90.47
159540.SZ,信创ETF易方达,32.7,0.2155,88.77,61,55.68,90.4
167501.SZ,安信宝利债券LOF,42.33,0.2904,70.17,82,97.85,90.34
515150.SH,一带一路ETF富国,25.38,0.234,78.33,66,78.39,90.27
159537.SZ,信创ETF,32.1,0.2165,87.99,61,55.68,90.21
159658.SZ,数字经济ETF,36.8,0.21,92.49,59,44.71,90.14
159560.SZ,芯片ETF景顺,33.59,0.2132,90.08,60,50.07,90.08
159715.SZ,稀土ETF易方达,45.93,0.1985,99.22,56,28.59,90.01
516780.SH,稀土ETF,46.43,0.1989,99.09,56,28.59,89.95
159998.SZ,计算机ETF,37.49,0.2072,92.1,59,44.71,89.88
162108.SZ,金鹰元盛债券LOF,41.83,0.3043,69.13,86,98.3,89.82
516900.SH,食品饮料ETF基金,29.16,0.2473,73.17,70,88.77,89.75
159335.SZ,央企科创ETF融通,25.19,0.2188,85.05,62,60.7,89.69
588730.SH,科创人工智能ETF易方达,42.74,0.2118,89.49,60,50.07,89.62
159801.SZ,芯片ETF广发,33.93,0.2111,89.43,60,50.07,89.56
588930.SH,科创人工智能ETF银华,43.07,0.2111,89.36,60,50.07,89.49
159713.SZ,稀土ETF,45.16,0.1973,98.56,56,28.59,89.43
501090.SH,消费龙头LOF,14.26,0.2609,69.97,74,94.84,89.36
159995.SZ,芯片ETF,33.88,0.2103,89.03,60,50.07,89.3
562920.SH,信息安全ETF易方达,33.52,0.2133,88.9,60,50.07,89.23
159566.SZ,储能电池ETF易方达,26.51,0.2272,80.09,64,70.5,89.16
588370.SH,科创50增强ETF南方,24.9,0.2298,78.26,65,74.54,89.1
562960.SH,绿色电力ETF易方达,15.51,0.251,71.15,71,91.06,89.03
588100.SH,科创信息ETF嘉实,30.99,0.2157,86.29,61,55.68,88.97
501217.SH,行业配置FOF,24.03,0.2718,68.73,77,96.54,88.9
588150.SH,科创50ETF南方,26.14,0.2176,83.68,62,60.7,88.84
562850.SH,央企能源ETF嘉实,22.3,0.2255,79.44,64,70.5,88.77
517770.SH,游戏传媒ETF浦银,45.03,0.1979,97.19,56,28.59,88.71
512200.SH,房地产ETF,28.87,0.2426,72.52,69,86.03,88.64
159729.SZ,互联网ETF汇添富,32.06,0.2127,87.92,60,50.07,88.58
515060.SH,房地产ETF华夏,28.7,0.2444,72.19,69,86.03,88.51
159538.SZ,信创ETF富国,31.93,0.2122,87.6,60,50.07,88.45
588760.SH,科创人工智能ETF广发,42.7,0.2095,89.88,59,44.71,88.38
159671.SZ,稀有金属ETF工银,47.99,0.1936,99.48,55,22.19,88.32
516100.SH,金融科技ETF华夏,36.65,0.2034,91.78,58,39.75,88.25
159851.SZ,金融科技ETF,35.66,0.2046,91.51,58,39.75,88.19
162215.SZ,宏利聚利债券LOF,56.69,0.2233,80.48,63,65.47,88.12
562800.SH,稀有金属ETF,48.02,0.1949,99.02,55,22.19,88.05
159608.SZ,稀有金属ETF,47.42,0.1945,98.83,55,22.19,87.92
560980.SH,光伏龙头ETF广发,42.47,0.1965,96.08,56,28.59,87.92
588750.SH,科创芯片ETF汇添富,35.54,0.2088,89.1,59,44.71,87.86
561800.SH,稀有金属ETF基金,46.44,0.1959,98.69,55,22.19,87.79
159542.SZ,工程机械ETF大成,31.03,0.2124,86.75,60,50.07,87.73
159665.SZ,半导体龙头ETF工银,32.85,0.2079,88.97,59,44.71,87.66
588110.SH,科创成长ETF,29.43,0.2266,77.87,64,70.5,87.6
561330.SH,矿业ETF,62.91,0.1999,93.21,57,34.66,87.53
159690.SZ,有色矿业ETF招商,61.33,0.1942,98.5,55,22.19,87.47
516000.SH,大数据ETF华夏,39.33,0.2013,93.15,57,34.66,87.4
159719.SZ,国企共赢ETF,22.33,0.2565,67.75,73,93.86,87.34
159864.SZ,光伏ETF国泰,45.0,0.1956,98.37,55,22.19,87.27
510010.SH,180治理ETF交银,16.77,0.281,65.99,80,97.58,87.21
515170.SH,食品饮料ETF,28.04,0.2382,72.0,68,83.55,87.14
501209.SH,富久食品饮料LOF,17.36,0.2524,68.15,72,92.49,87.08
159325.SZ,半导体ETF南方,33.13,0.2066,88.58,59,44.71,87.01
159305.SZ,储能电池ETF广发,25.28,0.2251,77.35,64,70.5,86.95
511990.SH,华宝添益ETF,0.18,0.3424,64.95,97,99.41,86.88
560950.SH,中证500增强ETF汇添富,20.0,0.2281,75.59,65,74.54,86.81
560070.SH,央企红利ETF汇添富,22.89,0.2399,71.67,68,83.55,86.75
561260.SH,能源ETF工银,23.14,0.2234,79.37,63,65.47,86.68
159880.SZ,有色ETF鹏华,60.15,0.198,95.1,56,28.59,86.62
508003.SH,中金联东科创REIT,16.65,0.231,75.39,65,74.54,86.55
159813.SZ,半导体ETF,33.21,0.2098,88.12,59,44.71,86.49
159825.SZ,农业ETF,21.29,0.2607,66.58,74,94.84,86.42
515710.SH,食品饮料ETF华宝,26.82,0.2424,70.3,69,86.03,86.36
560190.SH,公用事业ETF,15.15,0.2704,65.73,77,96.54,86.29
159843.SZ,食品饮料ETF,27.44,0.2442,70.23,69,86.03,86.23
159301.SZ,公用事业ETF,14.19,0.2536,67.43,72,92.49,86.16
588790.SH,科创AIETF博时,41.87,0.2054,89.95,58,39.75,86.1
560280.SH,工程机械ETF,32.82,0.2138,83.09,61,55.68,86.03
159857.SZ,光伏ETF,44.29,0.193,97.39,55,22.19,85.97
160421.SZ,华安智增LOF,49.87,0.1932,97.32,55,22.19,85.9
560690.SH,电信ETF鹏华,38.63,0.2017,91.91,57,34.66,85.84
511960.SH,货币ETF嘉实,1.13,0.2979,64.69,85,98.17,85.77
562380.SH,央企科技ETF银华,36.11,0.2052,89.56,58,39.75,85.7
501079.SH,科创大成LOF,30.13,0.2219,78.52,63,65.47,85.64
588060.SH,科创50ETF广发,26.45,0.2144,82.7,61,55.68,85.57
159326.SZ,电网设备ETF,36.9,0.2093,87.21,59,44.71,85.51
159869.SZ,游戏ETF,39.81,0.1965,94.06,56,28.59,85.44
588680.SH,科创100增强ETF,39.16,0.2102,84.46,60,50.07,85.38
560300.SH,电信ETF汇添富,32.53,0.2061,88.84,58,39.75,85.31
167301.SZ,保险主题LOF,19.78,0.222,77.81,63,65.47,85.25
516860.SH,金融科技ETF博时,34.37,0.2017,90.99,57,34.66,85.18
517200.SH,互联网ETF嘉实,34.67,0.2045,88.71,58,39.75,85.12
588220.SH,科创100ETF鹏华,32.53,0.2212,77.61,63,65.47,85.05
510680.SH,上证50ETF万家,13.63,0.2378,71.08,67,80.55,84.99
160617.SZ,鹏华丰润LOF,42.17,0.239,69.78,68,83.55,84.92
588280.SH,科创50ETF指数基金,26.37,0.2102,83.94,60,50.07,84.79
561790.SH,央企能源ETF博时,22.75,0.2329,71.8,66,78.39,84.79
159862.SZ,食品饮料ETF银华,26.34,0.2458,67.23,70,88.77,84.73
