TopK,Precision@K,Recall@K,平均最大涨幅,平均最大回撤,平均起爆速度,盈亏比
10,0.04794117647058824,0.008023985405646238,0.09269131530950646,-0.02795748404783451,9.406784660766961,3.315438368878762
20,0.04455882352941177,0.014794945341922466,0.09061311764109757,-0.02647565054883109,9.413421828908554,3.4225076915097055
50,0.0441764705882353,0.03807088392912121,0.09102994685770283,-0.025322190441087113,9.702182890855457,3.594868582537791
100,0.04585294117647059,0.07745727147961175,0.09132576098870959,-0.024617177555604774,9.850737463126844,3.7098388221974203
