,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,788758.2751233485
Total Return [%],-21.124172487665156
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000291
Total Fees Paid,0.0
Max Drawdown [%],31.34262764966091
Max Drawdown Duration,329 days 00:00:00
Total Trades,43991
Total Closed Trades,43731
Total Open Trades,260
Open Trade PnL,797.0025147403248
Win Rate [%],59.024490635933326
Best Trade [%],155.83291767399314
Worst Trade [%],-40.015370148800486
Avg Winning Trade [%],10.578399136314777
Avg Losing Trade [%],-5.994738881731929
Avg Winning Trade Duration,14 days 18:33:48.451882845
Avg Losing Trade Duration,13 days 13:06:36.090985678
Profit Factor,0.785406928734119
Expectancy,-4.993373366831825
Sharpe Ratio,-0.70709348977748
Calmar Ratio,-0.6839365860425778
Omega Ratio,0.9025521729043825
Sortino Ratio,-0.8853308709360904
