,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1000774.6378908288
Total Return [%],0.07746378908287234
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000182
Total Fees Paid,0.0
Max Drawdown [%],16.709010376113735
Max Drawdown Duration,102 days 00:00:00
Total Trades,37410
Total Closed Trades,37150
Total Open Trades,260
Open Trade PnL,40298.69038226687
Win Rate [%],74.37415881561238
Best Trade [%],181.6919481354527
Worst Trade [%],-27.479282889268497
Avg Winning Trade [%],14.181588556398902
Avg Losing Trade [%],-4.508718713764823
Avg Winning Trade Duration,17 days 23:27:50.618892508
Avg Losing Trade Duration,10 days 10:01:40.635324015
Profit Factor,0.9529466014474794
Expectancy,-1.2458617173446385
Sharpe Ratio,0.12623679425348142
Calmar Ratio,0.004713562110241412
Omega Ratio,1.019651525051624
Sortino Ratio,0.16171316442946473
