,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1480405.0832662547
Total Return [%],48.04050832662548
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000115
Total Fees Paid,0.0
Max Drawdown [%],14.959340120976734
Max Drawdown Duration,97 days 00:00:00
Total Trades,47756
Total Closed Trades,47496
Total Open Trades,260
Open Trade PnL,-16605.553630687275
Win Rate [%],62.883190163382174
Best Trade [%],231.4951630772501
Worst Trade [%],-28.15295363009616
Avg Winning Trade [%],4.019528380881952
Avg Losing Trade [%],-2.99269240243793
Avg Winning Trade Duration,4 days 11:28:03.503532326
Avg Losing Trade Duration,5 days 17:02:51.013992053
Profit Factor,1.4089766779465744
Expectancy,10.078263664187592
Sharpe Ratio,1.8453052702426065
Calmar Ratio,3.2765062185694016
Omega Ratio,1.3160676036112744
Sortino Ratio,2.4365101526478865
