,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,952035.9830958175
Total Return [%],-4.796401690418254
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000033
Total Fees Paid,0.0
Max Drawdown [%],25.16232598271071
Max Drawdown Duration,107 days 00:00:00
Total Trades,1175
Total Closed Trades,1155
Total Open Trades,20
Open Trade PnL,9018.662783416396
Win Rate [%],48.658008658008654
Best Trade [%],123.41549295774645
Worst Trade [%],-34.52587704063911
Avg Winning Trade [%],8.994745584896368
Avg Losing Trade [%],-6.208541560469198
Avg Winning Trade Duration,6 days 15:35:13.879003558
Avg Losing Trade Duration,6 days 08:15:36.986301369
Profit Factor,0.9688173553925234
Expectancy,-73.71811797454029
Sharpe Ratio,-0.042601668534355555
Calmar Ratio,-0.19372526701625098
Omega Ratio,0.9938432132571462
Sortino Ratio,-0.05709015145508672
