,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1509633.362276005
Total Return [%],50.96333622760051
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.0000000000015
Total Fees Paid,0.0
Max Drawdown [%],19.215768444993948
Max Drawdown Duration,108 days 00:00:00
Total Trades,46467
Total Closed Trades,46207
Total Open Trades,260
Open Trade PnL,-10727.627474452027
Win Rate [%],63.67000670894021
Best Trade [%],96.92477607537529
Worst Trade [%],-31.649408931858186
Avg Winning Trade [%],4.390874602052536
Avg Losing Trade [%],-3.161172761197256
Avg Winning Trade Duration,5 days 03:55:55.268524813
Avg Losing Trade Duration,6 days 05:30:52.748849600
Profit Factor,1.4221756158952712
Expectancy,10.823826978085943
Sharpe Ratio,1.9160850551413313
Calmar Ratio,2.7064276697702767
Omega Ratio,1.3267791907213462
Sortino Ratio,2.54206559929311
