,blastoff.amount_anomaly_5,blastoff.higher_lows_20,blastoff.ma_alignment,blastoff.range_squeeze_20,blastoff.vol_shrink_20
blastoff.amount_anomaly_5,1.0,0.41016584362376773,-0.02220446870316316,-0.0055826488998894684,-0.7859613279458327
blastoff.higher_lows_20,0.41016584362376773,1.0,-0.13379828289606072,-0.18349545117817906,-0.5511556016508267
blastoff.ma_alignment,-0.02220446870316316,-0.13379828289606072,1.0,0.6855690807683337,0.06808531194939547
blastoff.range_squeeze_20,-0.0055826488998894684,-0.18349545117817906,0.6855690807683337,1.0,0.09568745374183056
blastoff.vol_shrink_20,-0.7859613279458327,-0.5511556016508267,0.06808531194939547,0.09568745374183056,1.0
