,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1231106.9317686385
Total Return [%],23.110693176863865
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000205
Total Fees Paid,0.0
Max Drawdown [%],18.23875072678484
Max Drawdown Duration,126 days 00:00:00
Total Trades,46722
Total Closed Trades,46462
Total Open Trades,260
Open Trade PnL,-7164.441271106598
Win Rate [%],66.04752270672807
Best Trade [%],163.2054176072234
Worst Trade [%],-30.568627996081233
Avg Winning Trade [%],5.87701209665045
Avg Losing Trade [%],-3.2852144660268583
Avg Winning Trade Duration,4 days 12:12:50.045947795
Avg Losing Trade Duration,4 days 16:54:52.747675537
Profit Factor,1.1779866818782434
Expectancy,4.795743685978042
Sharpe Ratio,1.041530416748348
Calmar Ratio,1.2906164824532766
Omega Ratio,1.173077000900892
Sortino Ratio,1.355604436157184
