buy_trade_id,buy_order_id,buy_ts,buy_px,sell_trade_id,sell_order_id,sell_ts,sell_px,qty,pnl
7,554011836,2026-03-02 15:29:14,0.818000,2,553721927,2026-03-02 15:29:13,0.822000,100,0.400000
12,554162318,2026-03-02 15:29:14,0.821000,2,553721927,2026-03-02 15:29:13,0.822000,100,0.100000
17,554370179,2026-03-02 15:29:14,0.821000,2,553721927,2026-03-02 15:29:13,0.822000,100,0.100000
16,554338155,2026-03-02 15:29:14,0.822000,19,554419623,2026-03-02 15:29:14,0.823000,100,0.100000
15,554313143,2026-03-02 15:29:14,0.823000,20,554446146,2026-03-02 15:29:14,0.824000,100,0.100000
23,554530258,2026-03-02 15:29:14,0.821000,3,553745946,2026-03-02 15:29:13,0.822000,100,0.100000
25,554581366,2026-03-02 15:29:14,0.821000,3,553745946,2026-03-02 15:29:13,0.822000,100,0.100000
27,554634476,2026-03-02 15:29:14,0.821000,4,553769518,2026-03-02 15:29:13,0.822000,100,0.100000
22,554497595,2026-03-02 15:29:14,0.822000,29,554705921,2026-03-02 15:29:14,0.823000,100,0.100000
30,554728963,2026-03-02 15:29:14,0.821000,4,553769518,2026-03-02 15:29:13,0.822000,100,0.100000
31,554751916,2026-03-02 15:29:14,0.821000,11,554117252,2026-03-02 15:29:14,0.822000,100,0.100000
33,554786345,2026-03-02 15:29:14,0.821000,11,554117252,2026-03-02 15:29:14,0.822000,100,0.100000
35,554836225,2026-03-02 15:29:14,0.821000,13,554187349,2026-03-02 15:29:14,0.822000,100,0.100000
37,554889197,2026-03-02 15:29:14,0.821000,18,554395123,2026-03-02 15:29:14,0.822000,100,0.100000
38,554919310,2026-03-02 15:29:14,0.820000,24,554557869,2026-03-02 15:29:14,0.822000,100,0.200000
40,554984920,2026-03-02 15:29:14,0.820000,26,554608332,2026-03-02 15:29:14,0.822000,100,0.200000
41,555085471,2026-03-02 15:29:15,0.819000,28,554658928,2026-03-02 15:29:14,0.822000,100,0.300000
