level_idx,level_px,qty,avg_cost,unrealized_pnl
-20,0.798000,0,0.000000,0.000000
-19,0.799000,0,0.000000,0.000000
-18,0.800000,0,0.000000,0.000000
-17,0.801000,0,0.000000,0.000000
-16,0.802000,0,0.000000,0.000000
-15,0.803000,0,0.000000,0.000000
-14,0.804000,0,0.000000,0.000000
-13,0.805000,0,0.000000,0.000000
-12,0.806000,0,0.000000,0.000000
-11,0.807000,0,0.000000,0.000000
-10,0.808000,0,0.000000,0.000000
-9,0.809000,0,0.000000,0.000000
-8,0.810000,0,0.000000,0.000000
-7,0.811000,0,0.000000,0.000000
-6,0.812000,0,0.000000,0.000000
-5,0.813000,0,0.000000,0.000000
-4,0.814000,0,0.000000,0.000000
-3,0.815000,0,0.000000,0.000000
-2,0.816000,0,0.000000,0.000000
-1,0.817000,100,0.816000,0.100000
0,0.818000,100,0.817000,0.100000
1,0.819000,100,0.818000,0.100000
2,0.820000,100,0.819000,0.100000
3,0.821000,100,0.820000,0.100000
4,0.822000,100,0.821000,0.100000
5,0.823000,100,0.822000,0.100000
6,0.824000,100,0.823000,0.100000
7,0.825000,100,0.824000,0.100000
