跟踪指数代码,跟踪指数名称,基金规模(亿元)
h11146.CSI,港股通内地金融,20.067326859999998
399102.SZ,创业板综,19.59206028
930632.CSI,CS稀金属,19.52538711
000992.SH,金融地产,19.41096781
931239.CSI,港股通汽车,19.168652480000002
000069.SH,消费80,18.589359990000002
931247.CSI,中证信创,18.38506652
931052.CSI,国信价值,18.26208437
980080.CNI,成长100,17.72171076
399417.SZ,新能源车,17.374428639999998
399959.SZ,军工指数,17.14063244
000978.CSI,医药100,17.109551099999997
000151.SH,上国红利,16.97777193
931865.CSI,中证半导,16.633589830000002
399966.SZ,中证800证保,16.506514099999997
930734.CSI,360互联+,16.387659929999998
931243.CSI,诚通央企ESG,16.193338
399266.SZ,创新能源,15.983247610000001
931494.CSI,消费电子,15.8572828
000925.CSI,基本面50,15.729874350000001
931582.CSI,数字经济,15.71126359
399812.SZ,养老产业,15.61896456
931008.CSI,汽车指数,15.4046577
931484.CSI,CS医药创新,15.3157438
930606.CSI,中证钢铁,14.86754157
930915.CSI,港股通高股息(CNY),14.6288013
987024.CNI,港股通消费,14.43284645
930939.CSI,500质量成长,14.24300762
h30124.CSI,安中动态,14.139472929999998
930625.CSI,SHS互联网,13.82722166
CN5075.CNI,国证信创,13.4762325
000692.SH,科创新能,13.46674972
399395.SZ,国证有色,13.41782311
931409.CSI,SHS创新药,13.28490395
931132.CSI,诚通央企红利,12.90492834
931521.CSI,高装细分50,12.886797999999999
h30455.CSI,沪港深500,12.85063584
932039.CSI,央企股东回报,12.83368018
CN5082.CNI,国证航天,12.643541410000001
399415.SZ,I100,12.521576309999999
HSCEI.HI,恒生中国企业指数,12.49657276
000859.CSI,国企一带一路,12.458381979999999
950125.CSI,科创半导体材料设备,12.3395169
000918.CSI,300成长,12.33885227
HSISC.HI,恒指港股通,12.076953940000001
931069.CSI,中金300,11.76685414
399983.SZ,地产等权,11.66596762
HSBIO.HI,恒生生物科技,11.62189
930719.CSI,CS精准医,11.54712992
931855.CSI,通用航空,11.50969865
931009.CSI,建筑材料,11.34865001
GPCCH003.FI,富时中国国企开放共赢,11.28760057
399001.SZ,深证成指,11.26804319
931722CNY100.CSI,国新港股通央企红利CPR,11.23070737
000690.SH,科创成长,11.20863742
h30270.CSI,红利价值,11.13615277
000858.SH,中证500信息,11.019605349999999
HSSCPB.HI,恒生港股通创新药精选,10.98188857
399293.SZ,创业大盘,10.85276589
931380.CSI,科技50,10.729471310000001
399368.SZ,国证军工,10.70848771
930792.CSI,HK银行(HKD),10.66417098
931039.CSI,银行AH,10.4611499
399550.SZ,央视50,10.1460706
931068.CSI,消费龙头,9.979129610000001
950161.CSI,科创新药,9.94017773
HSFML25.HI,恒生中国(香港上市)30,9.89955219
931646.CSI,SHS新消费,9.67209232
000823.SH,800有色,9.51706648
931186.CSI,中证科技,9.180655
931140.CSI,医药50,9.17378029
h30094.CSI,消费红利,9.01810207
930712.CSI,CS物联网,8.94699323
399005.SZ,中小100,8.93821274
930782.CSI,500SNLV,8.88653726
000683.SH,科创生物,8.73176348
000689.SH,科创材料,8.216349390000001
830009.XI,富时中国A50,8.18380752
399438.SZ,绿色电力,8.17152867
HSSSHID.HI,恒生沪深港创新药50,8.15216889
h30366.CSI,高息策略,8.09494952
399440.SZ,国证钢铁,8.05671157
399993.SZ,CSWD生科,8.03791965
h30022.CSI,800银行,7.70230156
399990.SZ,煤炭等权,7.6224478
