日期,融资余额,融资余额占流通市值(%),融资余量,期间买入额,买入额占A股成交额(%),期间偿还额,期间净买入额,期间融资买入个股数,占融资标的比(%)
2025-07-18,1889167148172.0,2.2353312900437947,203155264603.0,744102552745.0,9.624603520366048,717521305118.0,26581247627.0,4145,94.72120658135283
2025-07-25,1933840547766.0,2.244405587467009,201192442905.0,949917090203.0,10.276614299667347,905243690609.0,44673399594.0,4148,95.09399358092618
2025-08-01,1966274096589.0,2.301366210619757,206243132477.0,946272720723.0,10.45816871073072,913839171900.0,32433548823.0,4151,95.11915673693859
2025-08-08,1995359137248.0,2.2859784008199755,205705113890.0,847082995086.0,9.986774615926986,817997954427.0,29085040659.0,4148,94.98511564002747
2025-08-15,2048598581023.0,2.2857995892998977,202702695752.0,1114758672363.0,10.607193674201676,1061519228588.0,53239443775.0,4152,95.03318837262532
2025-08-22,2140125817281.0,2.3010624203161796,202320950600.0,1441346396946.0,11.140926424650857,1349819160688.0,91527236258.0,4153,95.01258293296729
2025-08-29,2245472004477.0,2.3796600553214935,211112072422.0,1697669615526.0,11.381797267853166,1592323428330.0,105346187196.0,4155,95.03659652333029
2025-09-05,2271306962960.0,2.4420583339471893,216526844084.0,1422165977501.0,10.92628708858806,1396331019018.0,25834958483.0,4155,95.01486393780014
2025-09-12,2334963472694.0,2.4623352370747384,214167318255.0,1327948250147.0,11.416262686986107,1264291740413.0,63656509734.0,4160,95.08571428571429
2025-09-19,2381609939994.0,2.5239253978878415,217366219800.0,1465491417873.0,11.640834867367875,1418844950573.0,46646467300.0,4161,95.08683729433272
2025-09-26,2408055682690.0,2.5478124282083563,219664893833.0,1354552377647.0,11.711536650225728,1328106634951.0,26445742696.0,4160,94.95548961424332
2025-09-30,2378389729764.0,2.4746955451524113,212915949191.0,525288178527.0,12.005510871974193,554954131453.0,-29665952926.0,4154,94.7752680812229
2025-10-10,2425658737267.0,2.521150294149672,216615053934.0,629806930422.0,12.097795237258978,582537922919.0,47269007503.0,4156,94.7992700729927
2025-10-17,2412834699555.0,2.571561338979862,225924659445.0,1201656615998.0,10.959760541039227,1214480653710.0,-12824037712.0,4165,94.96124031007751
