,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,877495.9845452481
Total Return [%],-12.250401545475183
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000158
Total Fees Paid,0.0
Max Drawdown [%],26.034615175023234
Max Drawdown Duration,329 days 00:00:00
Total Trades,42296
Total Closed Trades,42036
Total Open Trades,260
Open Trade PnL,10705.641288975296
Win Rate [%],64.29964792082976
Best Trade [%],201.221467707362
Worst Trade [%],-37.684186756827756
Avg Winning Trade [%],11.106227262429554
Avg Losing Trade [%],-5.267378065853666
Avg Winning Trade Duration,13 days 04:50:24.484812608
Avg Losing Trade Duration,10 days 19:29:16.475013433
Profit Factor,0.8576751096996539
Expectancy,-3.346911138512173
Sharpe Ratio,-0.34140094637089863
Calmar Ratio,-0.47789635289039417
Omega Ratio,0.9511657598612443
Sortino Ratio,-0.42979658276372706
